"probe1"	"probe2"	"ont"
"207163_s_at"	"210358_x_at"	0.291
"207163_s_at"	"201040_at"	0.188
"207163_s_at"	"215996_at"	0.188
"207163_s_at"	"200852_x_at"	0.108
"207163_s_at"	"201673_s_at"	0.644
"207163_s_at"	"212983_at"	0.321
"207163_s_at"	"201841_s_at"	0.344
"207163_s_at"	"202621_at"	0.243
"207163_s_at"	"206493_at"	0.148
"207163_s_at"	"206494_s_at"	0.148
"207163_s_at"	"216956_s_at"	0.148
"207163_s_at"	"216966_at"	0.148
"207163_s_at"	"204989_s_at"	0.191
"207163_s_at"	"204990_s_at"	0.191
"207163_s_at"	"211905_s_at"	0.191
"207163_s_at"	"214292_at"	0.191
"207163_s_at"	"200796_s_at"	0.291
"207163_s_at"	"200797_s_at"	0.291
"207163_s_at"	"200798_x_at"	0.291
"207163_s_at"	"214056_at"	0.291
"207163_s_at"	"214057_at"	0.291
"207163_s_at"	"203003_at"	0.166
"207163_s_at"	"203004_s_at"	0.166
"207163_s_at"	"200600_at"	0.302
"207163_s_at"	"200057_s_at"	0.235
"207163_s_at"	"208698_s_at"	0.235
"207163_s_at"	"210470_x_at"	0.235
"207163_s_at"	"200063_s_at"	0.33
"207163_s_at"	"221691_x_at"	0.33
"207163_s_at"	"221923_s_at"	0.33
"207163_s_at"	"208620_at"	0.071
"207163_s_at"	"204855_at"	0.529
"207163_s_at"	"202240_at"	0.305
"207163_s_at"	"202186_x_at"	0.225
"207163_s_at"	"202187_s_at"	0.225
"207163_s_at"	"201114_x_at"	0.103
"207163_s_at"	"216088_s_at"	0.103
"207163_s_at"	"202243_s_at"	0.103
"207163_s_at"	"202244_at"	0.103
"207163_s_at"	"201252_at"	0.157
"207163_s_at"	"200717_x_at"	0.168
"207163_s_at"	"212042_x_at"	0.168
"207163_s_at"	"221798_x_at"	0.207
"207163_s_at"	"214317_x_at"	0.209
"207163_s_at"	"217747_s_at"	0.209
"207163_s_at"	"202004_x_at"	0.16
"207163_s_at"	"210131_x_at"	0.16
"207163_s_at"	"215088_s_at"	0.16
"207163_s_at"	"216591_s_at"	0.16
"207163_s_at"	"212777_at"	0.273
"207163_s_at"	"212780_at"	0.273
"207163_s_at"	"202005_at"	0.121
"207163_s_at"	"216905_s_at"	0.121
"207163_s_at"	"216906_at"	0.121
"207163_s_at"	"208991_at"	0.338
"207163_s_at"	"208992_s_at"	0.338
"207163_s_at"	"203010_at"	0.289
"207163_s_at"	"204292_x_at"	0.328
"207163_s_at"	"41657_at"	0.328
"207163_s_at"	"207113_s_at"	0.424
"207163_s_at"	"204083_s_at"	0.112
"207163_s_at"	"212654_at"	0.112
"207163_s_at"	"215624_at"	0.365
"207163_s_at"	"215735_s_at"	0.365
"207163_s_at"	"203315_at"	0.288
"207163_s_at"	"217862_at"	0.262
"207163_s_at"	"217863_at"	0.262
"207163_s_at"	"217864_s_at"	0.262
"207163_s_at"	"204371_s_at"	0.244
"207163_s_at"	"204372_s_at"	0.244
"207163_s_at"	"212303_x_at"	0.244
"207163_s_at"	"216326_s_at"	0.296
"207163_s_at"	"219257_s_at"	0.322
"207163_s_at"	"201173_x_at"	0.055
"207163_s_at"	"210574_s_at"	0.055
"207163_s_at"	"210575_at"	0.055
"207163_s_at"	"218223_s_at"	NA
"207163_s_at"	"209026_x_at"	0.123
"207163_s_at"	"211714_x_at"	0.123
"207163_s_at"	"212320_at"	0.123
"211560_s_at"	"207889_at"	0.184
"211560_s_at"	"210063_at"	0.184
"211560_s_at"	"210862_s_at"	0.184
"211560_s_at"	"211322_s_at"	0.184
"211560_s_at"	"206834_at"	0.24
"211560_s_at"	"202245_at"	0.205
"211560_s_at"	"211018_at"	0.205
"211560_s_at"	"211019_s_at"	0.205
"211560_s_at"	"209036_s_at"	0.108
"211560_s_at"	"213333_at"	0.108
"211560_s_at"	"208714_at"	0.091
"211560_s_at"	"218034_at"	0.172
"204174_at"	"203416_at"	0.138
"204174_at"	"201136_at"	0.132
"204174_at"	"217728_at"	0.123
"204174_at"	"208130_s_at"	0.381
"204174_at"	"210629_x_at"	0.096
"204174_at"	"211581_x_at"	0.096
"204174_at"	"211582_x_at"	0.096
"204174_at"	"214181_x_at"	0.096
"204174_at"	"214574_x_at"	0.096
"204174_at"	"215633_x_at"	0.096
"204174_at"	"202546_at"	0.125
"205477_s_at"	"205049_s_at"	0.166
"214425_at"	"205049_s_at"	0.166
"200782_at"	"200094_s_at"	0.17
"200782_at"	"204102_s_at"	0.17
"200782_at"	"200600_at"	0.228
"200782_at"	"200737_at"	0.165
"200782_at"	"200738_s_at"	0.165
"200782_at"	"217356_s_at"	0.165
"200782_at"	"217383_at"	0.165
"200782_at"	"200967_at"	0.109
"200782_at"	"200968_s_at"	0.109
"200782_at"	"201380_at"	0.108
"206200_s_at"	"208894_at"	0.069
"206200_s_at"	"210982_s_at"	0.069
"214783_s_at"	"208894_at"	0.069
"214783_s_at"	"210982_s_at"	0.069
"206200_s_at"	"217728_at"	0.056
"214783_s_at"	"217728_at"	0.056
"209462_at"	"201116_s_at"	0.131
"209462_at"	"201117_s_at"	0.131
"209462_at"	"205586_x_at"	0.143
"203175_at"	"202329_at"	0.243
"203175_at"	"203028_s_at"	0.215
"203175_at"	"201040_at"	0.221
"203175_at"	"215996_at"	0.221
"203175_at"	"208018_s_at"	0.276
"203175_at"	"212777_at"	0.286
"203175_at"	"212780_at"	0.286
"203175_at"	"205312_at"	0.212
"203175_at"	"208991_at"	0.241
"203175_at"	"208992_s_at"	0.241
"203175_at"	"206219_s_at"	0.302
"203175_at"	"208854_s_at"	0.242
"203175_at"	"208855_s_at"	0.242
"203175_at"	"215188_at"	0.242
"203175_at"	"212651_at"	0.349
"203175_at"	"208009_s_at"	0.35
"203175_at"	"218076_s_at"	0.309
"203175_at"	"221789_x_at"	0.28
"203175_at"	"222131_x_at"	0.28
"203175_at"	"65770_at"	0.28
"207136_at"	"203388_at"	NA
"207136_at"	"211201_at"	NA
"207136_at"	"209201_x_at"	NA
"207136_at"	"211919_s_at"	NA
"207136_at"	"217028_at"	NA
"203388_at"	"202329_at"	0.267
"203388_at"	"211928_at"	0.195
"203388_at"	"200094_s_at"	0.222
"203388_at"	"204102_s_at"	0.222
"203388_at"	"208018_s_at"	0.308
"203388_at"	"212082_s_at"	0.098
"203388_at"	"214002_at"	0.098
"203388_at"	"200057_s_at"	0.24
"203388_at"	"208698_s_at"	0.24
"203388_at"	"210470_x_at"	0.24
"203388_at"	"201140_s_at"	0.227
"203388_at"	"201156_s_at"	0.227
"203388_at"	"212125_at"	0.152
"203388_at"	"212127_at"	0.152
"203388_at"	"200717_x_at"	0.185
"203388_at"	"212042_x_at"	0.185
"203388_at"	"200010_at"	0.307
"203388_at"	"200022_at"	0.179
"203388_at"	"214335_at"	0.179
"203388_at"	"222297_x_at"	0.179
"203388_at"	"201033_x_at"	0.225
"203388_at"	"208856_x_at"	0.225
"203388_at"	"211720_x_at"	0.225
"203388_at"	"211972_x_at"	0.225
"203388_at"	"214167_s_at"	0.225
"203388_at"	"200908_s_at"	0.178
"203388_at"	"217670_at"	0.178
"203388_at"	"209201_x_at"	0.299
"203388_at"	"211919_s_at"	0.299
"203388_at"	"217028_at"	0.299
"203388_at"	"208984_x_at"	NA
"203388_at"	"215089_s_at"	NA
"203388_at"	"217221_x_at"	NA
"203388_at"	"200074_s_at"	0.184
"203388_at"	"213588_x_at"	0.184
"203388_at"	"219138_at"	0.184
"203388_at"	"201173_x_at"	0.055
"203388_at"	"210574_s_at"	0.055
"203388_at"	"210575_at"	0.055
"203388_at"	"200002_at"	0.184
"203388_at"	"218076_s_at"	0.192
"214498_at"	"221664_s_at"	0.075
"214498_at"	"222354_at"	0.075
"204608_at"	"208674_x_at"	0.202
"204608_at"	"208675_s_at"	0.202
"204608_at"	"210447_at"	0.507
"204608_at"	"215794_x_at"	0.507
"204608_at"	"200852_x_at"	0.034
"204608_at"	"200967_at"	0.062
"204608_at"	"200968_s_at"	0.062
"204608_at"	"200908_s_at"	0.269
"204608_at"	"217670_at"	0.269
"202024_at"	"201390_s_at"	0.159
