"probe1"	"probe2"	"ont"
"210499_s_at"	"218110_at"	0.095
"214527_s_at"	"218110_at"	0.095
"207769_s_at"	"221021_s_at"	0.06
"210499_s_at"	"221021_s_at"	0.06
"214527_s_at"	"221021_s_at"	0.06
"207769_s_at"	"208620_at"	0.151
"210499_s_at"	"208620_at"	0.151
"214527_s_at"	"208620_at"	0.151
"207769_s_at"	"204559_s_at"	0.132
"210499_s_at"	"204559_s_at"	0.132
"214527_s_at"	"204559_s_at"	0.132
"207769_s_at"	"202253_s_at"	0.096
"207769_s_at"	"216024_at"	0.096
"210499_s_at"	"202253_s_at"	0.096
"210499_s_at"	"216024_at"	0.096
"214527_s_at"	"202253_s_at"	0.096
"214527_s_at"	"216024_at"	0.096
"218952_at"	"201116_s_at"	0.111
"218952_at"	"201117_s_at"	0.111
"208723_at"	"212269_s_at"	NA
"208723_at"	"214514_at"	NA
"208723_at"	"215580_at"	NA
"208723_at"	"215581_s_at"	NA
"208723_at"	"215582_x_at"	NA
"208723_at"	"208984_x_at"	0.047
"208723_at"	"215089_s_at"	0.047
"208723_at"	"217221_x_at"	0.047
"208723_at"	"206031_s_at"	0.385
"204638_at"	"209235_at"	0.023
"204638_at"	"221961_at"	0.023
"204638_at"	"38069_at"	0.023
"204638_at"	"218678_at"	0.046
"204638_at"	"207113_s_at"	0.041
"204638_at"	"220428_at"	0.038
"204638_at"	"219330_at"	0.046
"217395_at"	"204326_x_at"	0.252
"217395_at"	"208581_x_at"	0.252
"203365_s_at"	"207113_s_at"	0.104
"203365_s_at"	"210514_x_at"	0.058
"203365_s_at"	"211528_x_at"	0.058
"203365_s_at"	"211529_x_at"	0.058
"203365_s_at"	"211530_x_at"	0.058
"215624_at"	"204292_x_at"	0.133
"215624_at"	"41657_at"	0.133
"215735_s_at"	"204292_x_at"	0.133
"215735_s_at"	"41657_at"	0.133
"215624_at"	"212983_at"	0.069
"215735_s_at"	"212983_at"	0.069
"215624_at"	"221539_at"	0.074
"215735_s_at"	"221539_at"	0.074
"215624_at"	"207163_s_at"	0.167
"215735_s_at"	"207163_s_at"	0.167
"215624_at"	"202240_at"	0.125
"215735_s_at"	"202240_at"	0.125
"215624_at"	"200094_s_at"	0.128
"215624_at"	"204102_s_at"	0.128
"215735_s_at"	"200094_s_at"	0.128
"215735_s_at"	"204102_s_at"	0.128
"215624_at"	"203691_at"	0.089
"215624_at"	"41469_at"	0.089
"215735_s_at"	"203691_at"	0.089
"215735_s_at"	"41469_at"	0.089
"215624_at"	"207359_at"	0.068
"215624_at"	"210787_s_at"	0.068
"215624_at"	"212252_at"	0.068
"215624_at"	"213812_s_at"	0.068
"215735_s_at"	"207359_at"	0.068
"215735_s_at"	"210787_s_at"	0.068
"215735_s_at"	"212252_at"	0.068
"215735_s_at"	"213812_s_at"	0.068
"207933_at"	"208449_s_at"	0.094
"207933_at"	"208330_at"	0.031
"207824_s_at"	"212983_at"	0.11
"212064_x_at"	"212983_at"	0.11
"207824_s_at"	"207163_s_at"	0.07
"212064_x_at"	"207163_s_at"	0.07
"202329_at"	"200744_s_at"	0.141
"202329_at"	"200745_s_at"	0.141
"202329_at"	"200746_s_at"	0.141
"202329_at"	"212983_at"	0.179
"202329_at"	"202112_at"	0.137
"202329_at"	"208991_at"	0.123
"202329_at"	"208992_s_at"	0.123
"202329_at"	"203388_at"	0.123
"202329_at"	"203175_at"	0.168
"202329_at"	"221548_s_at"	0.095
"202329_at"	"207000_s_at"	0.111
"202329_at"	"209697_at"	0.111
"202329_at"	"213950_s_at"	0.111
"202329_at"	"32540_at"	0.111
"202329_at"	"32541_at"	0.111
"202329_at"	"200601_at"	0.094
"202329_at"	"207163_s_at"	0.21
"202329_at"	"206493_at"	0.129
"202329_at"	"206494_s_at"	0.129
"202329_at"	"216956_s_at"	0.129
"202329_at"	"216966_at"	0.129
"202329_at"	"208894_at"	0.057
"202329_at"	"210982_s_at"	0.057
"202329_at"	"208018_s_at"	0.214
"202329_at"	"210845_s_at"	0.094
"202329_at"	"211924_s_at"	0.094
"202329_at"	"214866_at"	0.094
"202329_at"	"202253_s_at"	0.134
"202329_at"	"216024_at"	0.134
"202329_at"	"205049_s_at"	0.129
"202329_at"	"219483_s_at"	0.224
"202329_at"	"203872_at"	0.06
"202295_s_at"	"204493_at"	0.028
"202295_s_at"	"211725_s_at"	0.028
"202295_s_at"	"208894_at"	0.066
"202295_s_at"	"210982_s_at"	0.066
"218481_at"	"200717_x_at"	0.053
"218481_at"	"212042_x_at"	0.053
"218481_at"	"212044_s_at"	0.047
"218481_at"	"200010_at"	0.054
"218481_at"	"200908_s_at"	0.048
"218481_at"	"217670_at"	0.048
"218481_at"	"214317_x_at"	0.04
"218481_at"	"217747_s_at"	0.04
"218481_at"	"221798_x_at"	0.063
"218481_at"	"207585_s_at"	0.095
"218481_at"	"200022_at"	0.023
"218481_at"	"214335_at"	0.023
"218481_at"	"222297_x_at"	0.023
"218481_at"	"217266_at"	0.055
"218481_at"	"221475_s_at"	0.055
"218481_at"	"221476_s_at"	0.055
"218481_at"	"203740_at"	0.095
"218481_at"	"201492_s_at"	0.031
"218481_at"	"211962_s_at"	0.047
"218481_at"	"211965_at"	0.047
"218481_at"	"213277_at"	0.047
"218481_at"	"213284_at"	0.047
"218481_at"	"201033_x_at"	0.047
"218481_at"	"208856_x_at"	0.047
"218481_at"	"211720_x_at"	0.047
"218481_at"	"211972_x_at"	0.047
"218481_at"	"214167_s_at"	0.047
"218481_at"	"200002_at"	0.028
"218481_at"	"200062_s_at"	0.047
"218481_at"	"200074_s_at"	0.055
"218481_at"	"213588_x_at"	0.055
"218481_at"	"219138_at"	0.055
"218481_at"	"200674_s_at"	0.023
"218481_at"	"204371_s_at"	0.056
"218481_at"	"204372_s_at"	0.056
"218481_at"	"212303_x_at"	0.056
"218481_at"	"212101_at"	0.047
"218481_at"	"212102_s_at"	0.047
"218481_at"	"212103_at"	0.047
"218481_at"	"200936_at"	0.023
"218481_at"	"212627_s_at"	0.259
"218481_at"	"213648_at"	0.259
"218481_at"	"200092_s_at"	0.023
"218481_at"	"201429_s_at"	0.047
"218481_at"	"213459_at"	0.047
"218481_at"	"214041_x_at"	0.047
"202093_s_at"	"202354_s_at"	0.168
"202093_s_at"	"202355_s_at"	0.168
"202093_s_at"	"202356_s_at"	0.168
"202093_s_at"	"202586_at"	0.042
"202093_s_at"	"211730_s_at"	0.042
"202093_s_at"	"201390_s_at"	0.131
"202093_s_at"	"218906_x_at"	0.087
"202093_s_at"	"203577_at"	0.042
"202093_s_at"	"217502_at"	0.075
"205205_at"	"207535_s_at"	0.254
"205205_at"	"209636_at"	0.254
"205205_at"	"211524_at"	0.254
"205205_at"	"202243_s_at"	0.042
"205205_at"	"202244_at"	0.042
"205205_at"	"212219_at"	0.047
"205205_at"	"212220_at"	0.047
"205205_at"	"212222_at"	0.047
"205205_at"	"201114_x_at"	0.047
"205205_at"	"216088_s_at"	0.047
"205205_at"	"208991_at"	0.246
"205205_at"	"208992_s_at"	0.246
"205205_at"	"204352_at"	0.105
"205205_at"	"207113_s_at"	0.172
"205205_at"	"214062_x_at"	0.124
"205205_at"	"214448_x_at"	0.124
"205205_at"	"207163_s_at"	0.081
"205205_at"	"200782_at"	0.081
"205205_at"	"201763_s_at"	0.172
"205205_at"	"216038_x_at"	0.172
"205205_at"	"202621_at"	0.234
"205205_at"	"210182_at"	0.052
"209381_x_at"	"212125_at"	0.136
"209381_x_at"	"212127_at"	0.136
"37462_i_at"	"212125_at"	0.136
"37462_i_at"	"212127_at"	0.136
"209381_x_at"	"215535_s_at"	0.059
"209381_x_at"	"32836_at"	0.059
"37462_i_at"	"215535_s_at"	0.059
"37462_i_at"	"32836_at"	0.059
"209381_x_at"	"209449_at"	0.19
"37462_i_at"	"209449_at"	0.19
"209381_x_at"	"204031_s_at"	0.158
"209381_x_at"	"213263_s_at"	0.158
"209381_x_at"	"213264_at"	0.158
"209381_x_at"	"213517_at"	0.158
"37462_i_at"	"204031_s_at"	0.158
"37462_i_at"	"213263_s_at"	0.158
"37462_i_at"	"213264_at"	0.158
"37462_i_at"	"213517_at"	0.158
"209381_x_at"	"202354_s_at"	0.109
"209381_x_at"	"202355_s_at"	0.109
"209381_x_at"	"202356_s_at"	0.109
"37462_i_at"	"202354_s_at"	0.109
"37462_i_at"	"202355_s_at"	0.109
"37462_i_at"	"202356_s_at"	0.109
"209381_x_at"	"202586_at"	0.035
"209381_x_at"	"211730_s_at"	0.035
"37462_i_at"	"202586_at"	0.035
"37462_i_at"	"211730_s_at"	0.035
"209381_x_at"	"208984_x_at"	0.169
"209381_x_at"	"215089_s_at"	0.169
"209381_x_at"	"217221_x_at"	0.169
"37462_i_at"	"208984_x_at"	0.169
"37462_i_at"	"215089_s_at"	0.169
"37462_i_at"	"217221_x_at"	0.169
"209381_x_at"	"200094_s_at"	0.176
"209381_x_at"	"204102_s_at"	0.176
"37462_i_at"	"200094_s_at"	0.176
"37462_i_at"	"204102_s_at"	0.176
"209381_x_at"	"201638_s_at"	0.171
