"probe1"	"probe2"	"ont"
"205477_s_at"	"205049_s_at"	0.241
"214425_at"	"205049_s_at"	0.241
"200782_at"	"200094_s_at"	0.296
"200782_at"	"204102_s_at"	0.296
"200782_at"	"200600_at"	0.33
"200782_at"	"200737_at"	0.351
"200782_at"	"200738_s_at"	0.351
"200782_at"	"217356_s_at"	0.351
"200782_at"	"217383_at"	0.351
"200782_at"	"200967_at"	0.164
"200782_at"	"200968_s_at"	0.164
"200782_at"	"201380_at"	0.136
"206200_s_at"	"208894_at"	0.126
"206200_s_at"	"210982_s_at"	0.126
"214783_s_at"	"208894_at"	0.126
"214783_s_at"	"210982_s_at"	0.126
"206200_s_at"	"217728_at"	0.263
"214783_s_at"	"217728_at"	0.263
"209462_at"	"201116_s_at"	0.311
"209462_at"	"201117_s_at"	0.311
"209462_at"	"205586_x_at"	0.365
"203175_at"	"202329_at"	0.412
"203175_at"	"203028_s_at"	0.383
"203175_at"	"201040_at"	0.599
"203175_at"	"215996_at"	0.599
"203175_at"	"208018_s_at"	0.569
"203175_at"	"212777_at"	0.656
"203175_at"	"212780_at"	0.656
"203175_at"	"205312_at"	0.507
"203175_at"	"208991_at"	0.476
"203175_at"	"208992_s_at"	0.476
"203175_at"	"206219_s_at"	0.625
"203175_at"	"208854_s_at"	0.579
"203175_at"	"208855_s_at"	0.579
"203175_at"	"215188_at"	0.579
"203175_at"	"212651_at"	0.72
"203175_at"	"208009_s_at"	0.738
"203175_at"	"218076_s_at"	0.635
"203175_at"	"221789_x_at"	0.54
"203175_at"	"222131_x_at"	0.54
"203175_at"	"65770_at"	0.54
"207136_at"	"203388_at"	NA
"207136_at"	"211201_at"	NA
"207136_at"	"209201_x_at"	NA
"207136_at"	"211919_s_at"	NA
"207136_at"	"217028_at"	NA
"203388_at"	"202329_at"	0.426
"203388_at"	"211928_at"	0.287
"203388_at"	"200094_s_at"	0.365
"203388_at"	"204102_s_at"	0.365
"203388_at"	"208018_s_at"	0.525
"203388_at"	"212082_s_at"	0.154
"203388_at"	"214002_at"	0.154
"203388_at"	"200057_s_at"	0.403
"203388_at"	"208698_s_at"	0.403
"203388_at"	"210470_x_at"	0.403
"203388_at"	"201140_s_at"	0.336
"203388_at"	"201156_s_at"	0.336
"203388_at"	"212125_at"	0.047
"203388_at"	"212127_at"	0.047
"203388_at"	"200717_x_at"	0.343
"203388_at"	"212042_x_at"	0.343
"203388_at"	"200010_at"	0.497
"203388_at"	"200022_at"	0.334
"203388_at"	"214335_at"	0.334
"203388_at"	"222297_x_at"	0.334
"203388_at"	"201033_x_at"	0.36
"203388_at"	"208856_x_at"	0.36
"203388_at"	"211720_x_at"	0.36
"203388_at"	"211972_x_at"	0.36
"203388_at"	"214167_s_at"	0.36
"203388_at"	"200908_s_at"	0.325
"203388_at"	"217670_at"	0.325
"203388_at"	"209201_x_at"	0.545
"203388_at"	"211919_s_at"	0.545
"203388_at"	"217028_at"	0.545
"203388_at"	"208984_x_at"	NA
"203388_at"	"215089_s_at"	NA
"203388_at"	"217221_x_at"	NA
"203388_at"	"200074_s_at"	0.342
"203388_at"	"213588_x_at"	0.342
"203388_at"	"219138_at"	0.342
"203388_at"	"201173_x_at"	0.325
"203388_at"	"210574_s_at"	0.325
"203388_at"	"210575_at"	0.325
"203388_at"	"200002_at"	0.327
"203388_at"	"218076_s_at"	0.32
"214498_at"	"221664_s_at"	0.392
"214498_at"	"222354_at"	0.392
"204608_at"	"208674_x_at"	0.172
"204608_at"	"208675_s_at"	0.172
"204608_at"	"210447_at"	0.436
"204608_at"	"215794_x_at"	0.436
"204608_at"	"200852_x_at"	0
"204608_at"	"200967_at"	0
"204608_at"	"200968_s_at"	0
"204608_at"	"200908_s_at"	0.341
"204608_at"	"217670_at"	0.341
"202024_at"	"201390_s_at"	0.136
"202024_at"	"201135_at"	0
"202024_at"	"200094_s_at"	0.083
"202024_at"	"204102_s_at"	0.083
"202024_at"	"201122_x_at"	0.274
"202024_at"	"201123_s_at"	0.274
"202024_at"	"213753_x_at"	0.274
"202024_at"	"201040_at"	0.161
"202024_at"	"215996_at"	0.161
"202024_at"	"200744_s_at"	0.189
"202024_at"	"200745_s_at"	0.189
"202024_at"	"200746_s_at"	0.189
"202024_at"	"200852_x_at"	0.146
"202024_at"	"203577_at"	0.178
"202024_at"	"200093_s_at"	0.221
"202024_at"	"207721_x_at"	0.221
"202024_at"	"208826_x_at"	0.221
"202024_at"	"208714_at"	0.019
"202024_at"	"200057_s_at"	0.116
"202024_at"	"208698_s_at"	0.116
"202024_at"	"210470_x_at"	0.116
"202024_at"	"208620_at"	0.079
"202024_at"	"201507_at"	NA
"202024_at"	"202586_at"	0.083
"202024_at"	"211730_s_at"	0.083
"202024_at"	"200967_at"	0
"202024_at"	"200968_s_at"	0
"202024_at"	"203396_at"	0
"202024_at"	"201114_x_at"	0
"202024_at"	"216088_s_at"	0
"202024_at"	"202243_s_at"	0
"202024_at"	"202244_at"	0
"202024_at"	"201252_at"	0.011
"202024_at"	"200908_s_at"	0.316
"202024_at"	"217670_at"	0.316
"202024_at"	"204330_s_at"	0.009
"202024_at"	"204331_s_at"	0.009
"202024_at"	"210008_s_at"	0.009
"202024_at"	"213840_s_at"	0.009
"202024_at"	"214317_x_at"	0.253
"202024_at"	"217747_s_at"	0.253
"202024_at"	"206031_s_at"	0
"202024_at"	"202799_at"	0.007
"202024_at"	"203043_at"	0.167
"202024_at"	"201527_at"	0.248
"202024_at"	"203740_at"	0.016
"202024_at"	"201173_x_at"	0.099
"202024_at"	"210574_s_at"	0.099
"202024_at"	"210575_at"	0.099
"202024_at"	"200002_at"	0.277
"202024_at"	"200645_at"	0.249
"202024_at"	"202415_s_at"	0
"202024_at"	"205541_s_at"	0.011
"202024_at"	"209077_at"	0
"202024_at"	"209078_s_at"	0
"202024_at"	"218188_s_at"	0.292
"202024_at"	"217716_s_at"	0.654
"202024_at"	"218034_at"	0.13
"202024_at"	"222240_s_at"	0
"202024_at"	"218481_at"	0.05
"202024_at"	"218110_at"	0.116
"202024_at"	"209449_at"	0
"202024_at"	"218463_s_at"	0.163
"202024_at"	"208784_s_at"	0.409
"202024_at"	"214383_x_at"	0.409
"202024_at"	"209026_x_at"	0.183
"202024_at"	"211714_x_at"	0.183
"202024_at"	"212320_at"	0.183
"207809_s_at"	"201392_s_at"	0.443
"207809_s_at"	"201393_s_at"	0.443
"207809_s_at"	"201551_s_at"	0.374
"207809_s_at"	"201552_at"	0.374
"207809_s_at"	"201553_s_at"	0.374
"207809_s_at"	"213728_at"	0.374
"207809_s_at"	"201527_at"	0.558
"207809_s_at"	"217800_s_at"	0.439
"203849_s_at"	"218030_at"	0.05
"203850_s_at"	"218030_at"	0.05
"1861_at"	"204493_at"	0.635
"1861_at"	"211725_s_at"	0.635
"209364_at"	"204493_at"	0.635
"209364_at"	"211725_s_at"	0.635
"1861_at"	"200796_s_at"	0.528
"1861_at"	"200797_s_at"	0.528
"1861_at"	"200798_x_at"	0.528
"1861_at"	"214056_at"	0.528
"1861_at"	"214057_at"	0.528
"209364_at"	"200796_s_at"	0.528
"209364_at"	"200797_s_at"	0.528
"209364_at"	"200798_x_at"	0.528
"209364_at"	"214056_at"	0.528
"209364_at"	"214057_at"	0.528
"1861_at"	"207000_s_at"	0.162
"1861_at"	"209697_at"	0.162
"1861_at"	"213950_s_at"	0.162
"1861_at"	"32540_at"	0.162
"1861_at"	"32541_at"	0.162
"209364_at"	"207000_s_at"	0.162
"209364_at"	"209697_at"	0.162
"209364_at"	"213950_s_at"	0.162
"209364_at"	"32540_at"	0.162
"209364_at"	"32541_at"	0.162
"1861_at"	"206863_x_at"	0.461
"1861_at"	"206864_s_at"	0.461
"1861_at"	"206865_at"	0.461
"209364_at"	"206863_x_at"	0.461
"209364_at"	"206864_s_at"	0.461
"209364_at"	"206865_at"	0.461
"1861_at"	"204269_at"	0.544
"209364_at"	"204269_at"	0.544
"204493_at"	"222015_at"	0.448
"211725_s_at"	"222015_at"	0.448
"204493_at"	"201390_s_at"	0.415
"211725_s_at"	"201390_s_at"	0.415
"204493_at"	"200796_s_at"	0.608
"204493_at"	"200797_s_at"	0.608
"204493_at"	"200798_x_at"	0.608
"204493_at"	"214056_at"	0.608
"204493_at"	"214057_at"	0.608
"211725_s_at"	"200796_s_at"	0.608
"211725_s_at"	"200797_s_at"	0.608
"211725_s_at"	"200798_x_at"	0.608
"211725_s_at"	"214056_at"	0.608
