"probe1"	"probe2"	"ont"
"215348_at"	"207578_s_at"	0
"215348_at"	"216939_s_at"	0
"213245_at"	"206001_at"	0
"215340_at"	"206001_at"	0
"215348_at"	"206001_at"	0
"213245_at"	"210382_at"	0
"215340_at"	"210382_at"	0
"215348_at"	"210382_at"	0
"213245_at"	"209201_x_at"	0
"213245_at"	"211919_s_at"	0
"213245_at"	"217028_at"	0
"215340_at"	"209201_x_at"	0
"215340_at"	"211919_s_at"	0
"215340_at"	"217028_at"	0
"215348_at"	"209201_x_at"	0
"215348_at"	"211919_s_at"	0
"215348_at"	"217028_at"	0
"213245_at"	"220538_at"	0
"215340_at"	"220538_at"	0
"215348_at"	"220538_at"	0
"207163_s_at"	"203388_at"	0.285
"207163_s_at"	"1861_at"	0.46
"207163_s_at"	"209364_at"	0.46
"207163_s_at"	"211962_s_at"	0.298
"207163_s_at"	"211965_at"	0.298
"207163_s_at"	"213277_at"	0.298
"207163_s_at"	"213284_at"	0.298
"207163_s_at"	"207613_s_at"	0.635
"207163_s_at"	"213108_at"	0.635
"207163_s_at"	"202224_at"	0.209
"207163_s_at"	"202225_at"	0.209
"207163_s_at"	"202226_s_at"	0.209
"207163_s_at"	"202329_at"	0.571
"207163_s_at"	"208674_x_at"	0.299
"207163_s_at"	"208675_s_at"	0.299
"207163_s_at"	"200094_s_at"	0.285
"207163_s_at"	"204102_s_at"	0.285
"207163_s_at"	"201693_s_at"	0.284
"207163_s_at"	"201694_s_at"	0.284
"207163_s_at"	"221539_at"	0.167
"207163_s_at"	"202580_x_at"	0.25
"207163_s_at"	"212024_x_at"	0.184
"207163_s_at"	"212025_s_at"	0.184
"207163_s_at"	"222065_s_at"	0.184
"207163_s_at"	"207954_at"	0.193
"207163_s_at"	"209710_at"	0.193
"207163_s_at"	"210358_x_at"	0.193
"207163_s_at"	"201040_at"	0.357
"207163_s_at"	"215996_at"	0.357
"207163_s_at"	"200852_x_at"	0.307
"207163_s_at"	"201673_s_at"	0.367
"207163_s_at"	"212983_at"	0.388
"207163_s_at"	"201841_s_at"	0.443
"207163_s_at"	"202621_at"	0.33
"207163_s_at"	"206493_at"	0.32
"207163_s_at"	"206494_s_at"	0.32
"207163_s_at"	"216956_s_at"	0.32
"207163_s_at"	"216966_at"	0.32
"207163_s_at"	"204989_s_at"	0.18
"207163_s_at"	"204990_s_at"	0.18
"207163_s_at"	"211905_s_at"	0.18
"207163_s_at"	"214292_at"	0.18
"207163_s_at"	"200796_s_at"	0.321
"207163_s_at"	"200797_s_at"	0.321
"207163_s_at"	"200798_x_at"	0.321
"207163_s_at"	"214056_at"	0.321
"207163_s_at"	"214057_at"	0.321
"207163_s_at"	"203003_at"	0.217
"207163_s_at"	"203004_s_at"	0.217
"207163_s_at"	"200600_at"	0.301
"207163_s_at"	"200057_s_at"	0.325
"207163_s_at"	"208698_s_at"	0.325
"207163_s_at"	"210470_x_at"	0.325
"207163_s_at"	"200063_s_at"	0.345
"207163_s_at"	"221691_x_at"	0.345
"207163_s_at"	"221923_s_at"	0.345
"207163_s_at"	"208620_at"	0.242
"207163_s_at"	"204855_at"	0.237
"207163_s_at"	"202240_at"	0.695
"207163_s_at"	"202186_x_at"	0.366
"207163_s_at"	"202187_s_at"	0.366
"207163_s_at"	"201114_x_at"	0.391
"207163_s_at"	"216088_s_at"	0.391
"207163_s_at"	"202243_s_at"	0.266
"207163_s_at"	"202244_at"	0.266
"207163_s_at"	"201252_at"	0.266
"207163_s_at"	"200717_x_at"	0.349
"207163_s_at"	"212042_x_at"	0.349
"207163_s_at"	"221798_x_at"	0.288
"207163_s_at"	"214317_x_at"	0.207
"207163_s_at"	"217747_s_at"	0.207
"207163_s_at"	"202004_x_at"	0.141
"207163_s_at"	"210131_x_at"	0.141
"207163_s_at"	"215088_s_at"	0.141
"207163_s_at"	"216591_s_at"	0.141
