"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000348778","RAB19","23164"
"9606.ENSP00000348784","IGBP1","4357"
"9606.ENSP00000348786","RAP1A","4358"
"9606.ENSP00000348793","AFF3","255027"
"9606.ENSP00000348799","ATF7IP2","84769"
"9606.ENSP00000348812","PTPRD","4359"
"9606.ENSP00000348813","TBC1D7","9019"
"9606.ENSP00000348815","HYLS1","10205"
"9606.ENSP00000348821","MYOM1","196264"
"9606.ENSP00000348822","SEMA4D","3140"
"9606.ENSP00000348827","THRB","56246"
"9606.ENSP00000348828","ARHGEF26","112609"
"9606.ENSP00000348831","NUDT10","22808"
"9606.ENSP00000348838","UBE2C","4360"
"9606.ENSP00000348842","EML6",NA
"9606.ENSP00000348848","WDR45","9902"
"9606.ENSP00000348849","RPS26",NA
"9606.ENSP00000348852","FAM168A","55686"
"9606.ENSP00000348886","STOML2","93621"
"9606.ENSP00000348888","PIGR","114932"
"9606.ENSP00000348897","GABRA2","55257"
"9606.ENSP00000348901","PLD3","116512"
"9606.ENSP00000348911","AADACL2","116534"
"9606.ENSP00000348912","ADAM33","116535"
"9606.ENSP00000348915","CBWD1","386746"
"9606.ENSP00000348918","SAA1","259249"
"9606.ENSP00000348924","HIST1H2BE","117194"
"9606.ENSP00000348933","CCDC25","117195"
"9606.ENSP00000348936","LEKR1","117196"
"9606.ENSP00000348944","RSPO1","84245"
"9606.ENSP00000366098","YIF1A","79922"
"9606.ENSP00000348965","DYNC1H1","83876"
"9606.ENSP00000348982","MEGF6","389690"
"9606.ENSP00000348984","SON",NA
"9606.ENSP00000348986","INS-IGF2","65008"
"9606.ENSP00000348996","TSGA13","124995"
"9606.ENSP00000349003","PTGER3","65003"
"9606.ENSP00000349016","PEX14","6182"
"9606.ENSP00000349017","ABCC11","28998"
"9606.ENSP00000349022","ARC","64928"
"9606.ENSP00000349041","NRARP","29088"
"9606.ENSP00000349076","ATN1","54948"
"9606.ENSP00000349709","RAET1E","63875"
"9606.ENSP00000349078","FDPS","29074"
"9606.ENSP00000349085","MAGEA1","9801"
"9606.ENSP00000349087","C19orf6","51069"
"9606.ENSP00000349098","ZNF74","55052"
"9606.ENSP00000349114","FLJ42280","219927"
"9606.ENSP00000349124","PPP4R2","29093"
"9606.ENSP00000349131","RSPO3","6150"
"9606.ENSP00000349132","SPATA31A3","79590"
"9606.ENSP00000349142","ATP5C1","51264"
"9606.ENSP00000349143","BTN2A2","10573"
"9606.ENSP00000349145","MYO16","11222"
"9606.ENSP00000349147","CNNM1","51263"
"9606.ENSP00000349154","KIAA1841","64983"
"9606.ENSP00000349156","SIAH1","9553"
"9606.ENSP00000349161","ZNF790","64981"
"9606.ENSP00000349168","HNRNPH1","51318"
"9606.ENSP00000349174","SLC39A8","64979"
"9606.ENSP00000349175","FAM180B","51253"
"9606.ENSP00000349204","CRB3","64978"
"9606.ENSP00000349205","PIK3R4","54148"
"9606.ENSP00000349208","PIWIL2","51073"
"9606.ENSP00000349238","CCDC88B","64976"
"9606.ENSP00000349244","C10orf137","64975"
"9606.ENSP00000349250","ARL4A","28977"
"9606.ENSP00000349252","ITGAL","84545"
"9606.ENSP00000349259","SPTBN1","65080"
"9606.ENSP00000349270","HBM","84311"
"9606.ENSP00000349719","OR2L8","26589"
"9606.ENSP00000349297","ACADVL","57129"
"9606.ENSP00000349298","MYLIP","51642"
"9606.ENSP00000349305","GOLGA4","740"
"9606.ENSP00000349313","NHEJ1","54534"
"9606.ENSP00000349320","CACNA2D1","51258"
"9606.ENSP00000349324","TNFRSF10C","122704"
"9606.ENSP00000349325","ATP10A","116540"
"9606.ENSP00000349336","FAM163B","116541"
"9606.ENSP00000349351","BICD2","128308"
"9606.ENSP00000349356","FIGNL1","65005"
"9606.ENSP00000349358","C12orf29","55173"
"9606.ENSP00000349359","SASH3","64963"
"9606.ENSP00000349364","IFFO1","6183"
"9606.ENSP00000350050","TMEM229B","63931"
"9606.ENSP00000349365","IL27","64960"
"9606.ENSP00000349393","LIG4","51021"
"9606.ENSP00000349396","ABCD4","51373"
"9606.ENSP00000349401","ZNF708","55168"
"9606.ENSP00000349415","RAB18","28973"
"9606.ENSP00000349428","PTBP1","51023"
"9606.ENSP00000349430","HIST1H2BK","51116"
"9606.ENSP00000349436","ADAM15","54460"
"9606.ENSP00000349437","IGF2R","56945"
"9606.ENSP00000350052","POTEF","51649"
"9606.ENSP00000349465","PICK1","64951"
"9606.ENSP00000349467","CALM1","64432"
"9606.ENSP00000349477","KLRG1","64949"
"9606.ENSP00000349478","HCAR1","23107"
"9606.ENSP00000349486","SCRIB","28957"
"9606.ENSP00000349490","MFNG","10884"
"9606.ENSP00000349493","GUCA2A","10240"
"9606.ENSP00000349494","ZNF254","51650"
"9606.ENSP00000349496","ADPRH","65993"
"9606.ENSP00000349503","ZFP161","60488"
"9606.ENSP00000349508","CHD4","92259"
"9606.ENSP00000349525","AHSA2","64969"
"9606.ENSP00000387122","CLEC16A","64968"
"9606.ENSP00000349541","PTRF","51081"
"9606.ENSP00000349543","PEX2","64965"
"9606.ENSP00000349547","RASSF1","92399"
"9606.ENSP00000349560","RAB4B","286423"
"9606.ENSP00000349568","WDR96","57380"
"9606.ENSP00000349575","MOB3A","51154"
"9606.ENSP00000349576","DCTD","10335"
"9606.ENSP00000349577","PRODH","931"
"9606.ENSP00000349588","ANK2","341116"
"9606.ENSP00000349593","ENSG00000259305","54860"
"9606.ENSP00000349594","ELAVL4","503497"
"9606.ENSP00000349595","ATP2A1","84689"
"9606.ENSP00000349616","ADIPOR2","219995"
"9606.ENSP00000349629","LRBA","728588"
"9606.ENSP00000350071","STRN3","2206"
"9606.ENSP00000350075","C15orf38","932"
"9606.ENSP00000349640","MCRS1","51338"
"9606.ENSP00000349651","ENSG00000205873","643680"
"9606.ENSP00000349654","NELL1","64232"
"9606.ENSP00000349658","XPNPEP3","64231"
"9606.ENSP00000349669","C5orf48","245802"
"9606.ENSP00000349677","SPOCK3","58475"
"9606.ENSP00000349678","MYBPHL",NA
"9606.ENSP00000349679","DYNLRB1","345222"
"9606.ENSP00000349687","GM2A","79684"
"9606.ENSP00000349689","ZDHHC9","91283"
"9606.ENSP00000349693","ENSG00000197426","84437"
"9606.ENSP00000349696","CEPT1","9242"
"9606.ENSP00000349705","TOP3B","343930"
"9606.ENSP00000349708","ZMYM6","4436"
"9606.ENSP00000401177","NOL8","4437"
"9606.ENSP00000349722","UBE2D3","4438"
"9606.ENSP00000349723","BCL11B","4439"
"9606.ENSP00000349727","DOK3","2956"
"9606.ENSP00000349732","C3orf18","4440"
"9606.ENSP00000349748","SFPQ","124540"
"9606.ENSP00000349768","DCHS2","339287"
"9606.ENSP00000349770","IRF5","55167"
"9606.ENSP00000349773","CDC42SE1","10943"
"9606.ENSP00000349781","TBC1D8B","10232"
"9606.ENSP00000349783","RC3H2","401827"
"9606.ENSP00000349785","MAP1LC3C","4477"
"9606.ENSP00000349790","COL9A1","6307"
"9606.ENSP00000349796","ZNF23","692094"
"9606.ENSP00000349805","FAM212B","4478"
"9606.ENSP00000349823","SMARCAL1","4481"
"9606.ENSP00000349824","REPS2","4482"
"9606.ENSP00000349853","ENSG00000197511","51734"
"9606.ENSP00000349856","PRRC2B","22921"
"9606.ENSP00000349873","HIST1H2AL","253827"
"9606.ENSP00000349874","NUDT13","118490"
"9606.ENSP00000349877","ATP13A1","4485"
"9606.ENSP00000349882","ZNF248","11223"
"9606.ENSP00000349884","GALP","4486"
"9606.ENSP00000349887","ASNA1",NA
"9606.ENSP00000349891","ANKRD20A4","2660"
"9606.ENSP00000349893","DLK2","55154"
"9606.ENSP00000349902","FAM115C","4487"
"9606.ENSP00000349923","LAGE3","4488"
"9606.ENSP00000349929","SDCCAG3",NA
"9606.ENSP00000349930","OR11G2",NA
"9606.ENSP00000349931","PRAMEF8",NA
"9606.ENSP00000349932","PTPRS",NA
"9606.ENSP00000349945","OR5B17",NA
"9606.ENSP00000349954","CGB",NA
"9606.ENSP00000350509","AIG1",NA
"9606.ENSP00000349955","RPRD1A",NA
"9606.ENSP00000349957","ANAPC11",NA
"9606.ENSP00000349959","RICTOR",NA
"9606.ENSP00000349960","ACTB",NA
"9606.ENSP00000349967","CCRL2",NA
"9606.ENSP00000349970","ERGIC3",NA
"9606.ENSP00000349971","CEACAM3","4489"
"9606.ENSP00000349977","MVP","4490"
"9606.ENSP00000349989","CXorf24","4493"
"9606.ENSP00000350005","GIP","4494"
"9606.ENSP00000351015","NF1","4495"
"9606.ENSP00000350009","USP33","4496"
"9606.ENSP00000350011","C7orf50","4499"
"9606.ENSP00000350012","ACSL3","4501"
"9606.ENSP00000350018","SH3BP1","4502"
"9606.ENSP00000350022","OR8D2","4504"
"9606.ENSP00000350024","SLC29A2","84560"
"9606.ENSP00000350028","MOV10","9112"
"9606.ENSP00000350032","FRMD4A","9219"
"9606.ENSP00000350036","SMC1B","57504"
"9606.ENSP00000350049","HOMEZ","4507"
"9606.ENSP00000350078","ARID5A","27085"
"9606.ENSP00000350094","QRICH1","23787"
"9606.ENSP00000350098","POP5","23788"
"9606.ENSP00000350102","TOR4A","4515"
"9606.ENSP00000350132","PLN","92140"
"9606.ENSP00000350136","RIMKLB",NA
"9606.ENSP00000350159","HIST1H4K",NA
"9606.ENSP00000350162","SYCP2",NA
"9606.ENSP00000350170","FXR1",NA
"9606.ENSP00000350195","MAP3K6","4520"
"9606.ENSP00000350198","SSTR2","22823"
"9606.ENSP00000350199","AP1B1","123263"
"9606.ENSP00000350215","SEMA5B","51537"
"9606.ENSP00000350222","OR51D1","9650"
"9606.ENSP00000350248","OR14A16","92170"
"9606.ENSP00000351132","RHOT1","4522"
"9606.ENSP00000350249","POT1","25902"
"9606.ENSP00000350256","CCR9","10797"
"9606.ENSP00000350260","FAM219B","441024"
"9606.ENSP00000350261","SAMD4A","4524"
"9606.ENSP00000350263","PIGN","10588"
"9606.ENSP00000350265","ENPP3","64779"
"9606.ENSP00000350266","DENND2D","4528"
"9606.ENSP00000350267","BRPF3","219402"
"9606.ENSP00000350275","HIST1H3A",NA
"9606.ENSP00000350278","SLC30A7","4534"
"9606.ENSP00000350295","ZNF816","8776"
"9606.ENSP00000350297","ASAP1","54893"
"9606.ENSP00000350310","ATP2B4","10903"
"9606.ENSP00000350314","BCO2","54545"
"9606.ENSP00000350331","ASB13","64419"
"9606.ENSP00000350332","MYBPC2","8898"
"9606.ENSP00000350333","SAP130","8897"
"9606.ENSP00000350336","DSCR8","9110"
"9606.ENSP00000350348","GRM7","9107"
"9606.ENSP00000350352","TRMT1","9108"
"9606.ENSP00000350353","METTL20","55613"
"9606.ENSP00000350358","PRAMEF12","66036"
"9606.ENSP00000350359","CREB5","4543"
"9606.ENSP00000350364","NEGR1","4544"
"9606.ENSP00000350369","MAFG","25821"
"9606.ENSP00000350377","MCTP2","2475"
"9606.ENSP00000350378","GOLGA7","55149"
"9606.ENSP00000351137","XAB2","136319"
"9606.ENSP00000350386","CHM","4548"
"9606.ENSP00000350387","HYAL2","9617"
"9606.ENSP00000350392","C17orf102","54516"
"9606.ENSP00000350402","HHLA2","100462977"
"9606.ENSP00000350408","OR51C1P","100463488"
"9606.ENSP00000350409","UNC50","100462981"
"9606.ENSP00000350415","GJA9","100462983"
"9606.ENSP00000350418","ZNF98","100463285"
"9606.ENSP00000350425","APOA4","100463289"
"9606.ENSP00000350447","SGOL2","100288485"
"9606.ENSP00000350467","NAT9","100463486"
"9606.ENSP00000350474","OR8D1","4552"
"9606.ENSP00000350475","SLC4A5","9788"
"9606.ENSP00000350491","PRIM1","92154"
"9606.ENSP00000350512","COPS5","4547"
"9606.ENSP00000350540","GYG2P1","57509"
"9606.ENSP00000350541","AQPEP","23281"
"9606.ENSP00000350547","SEMA4F","4580"
"9606.ENSP00000350549","HMX3","10651"
"9606.ENSP00000350552","RFX4","345778"
"9606.ENSP00000350570","IFT20","4582"
"9606.ENSP00000350576","ZNF441","10071"
"9606.ENSP00000350580","HIST1H2BB","56667"
"9606.ENSP00000350592","MAGEA12","143662"
"9606.ENSP00000350616","DDC","94025"
"9606.ENSP00000350630","TLL2","140453"
"9606.ENSP00000350633","SERTAD1","283463"
"9606.ENSP00000350639","MAPKAPK3","4583"
"9606.ENSP00000350651","ERI2","200958"
"9606.ENSP00000350673","FAM3B","394263"
"9606.ENSP00000350676","PHF8","100507679"
"9606.ENSP00000350681","ELK4","4584"
"9606.ENSP00000350686","ANKLE2","4585"
"9606.ENSP00000350698","DDX47","4586"
"9606.ENSP00000350704","C1orf109","727897"
"9606.ENSP00000350708","RAD23B","4588"
"9606.ENSP00000350716","TUSC1","4589"
"9606.ENSP00000350718","TMCC2","100129528"
"9606.ENSP00000350719","SYNE2","118430"
"9606.ENSP00000351138","FAM73B","79594"
"9606.ENSP00000366107","SSX9","84939"
"9606.ENSP00000350720","SMARCA4","139221"
"9606.ENSP00000350734","ST7L",NA
"9606.ENSP00000350757","GMFB","80198"
"9606.ENSP00000350767","HIST4H4","4593"
"9606.ENSP00000350773","ZNF329","389125"
"9606.ENSP00000350785","DAPK1","4594"
"9606.ENSP00000350789","SFMBT1","4595"
"9606.ENSP00000350833","MPPED2","4597"
"9606.ENSP00000350836","OR2L13","4598"
"9606.ENSP00000350844","PAX5","9961"
"9606.ENSP00000350848","HMGN5","4599"
"9606.ENSP00000350854","VPS13D","4600"
"9606.ENSP00000350856","C8orf86","4084"
"9606.ENSP00000350869","ZNF346","83463"
"9606.ENSP00000350874","METTL9","10608"
"9606.ENSP00000350876","DNM3","4601"
"9606.ENSP00000351410","PRKAR1A","25878"
"9606.ENSP00000351416","ANKRD17","439921"
"9606.ENSP00000350878","S1PR3","54587"
"9606.ENSP00000350881","GRAMD1C","91663"
"9606.ENSP00000350894","SERPINH1","255275"
"9606.ENSP00000350896","EPHB4","4602"
"9606.ENSP00000350911","CTSE","10514"
"9606.ENSP00000350914","BDH1","4603"
"9606.ENSP00000350928","GAD1","4605"
"9606.ENSP00000350934","RABEP2","4604"
"9606.ENSP00000350937","TES","4606"
"9606.ENSP00000350941","SRC","4607"
"9606.ENSP00000350961","C9orf123","4608"
"9606.ENSP00000350965","TMBIM4","343263"
"9606.ENSP00000350969","ENSG00000197813","4609"
"9606.ENSP00000350976","RTP2","26292"
"9606.ENSP00000350990","TNKS1BP1","23077"
"9606.ENSP00000351422","C19orf60","84073"
"9606.ENSP00000351035","HSD17B11",NA
"9606.ENSP00000351040","FAM217B","4613"
"9606.ENSP00000351042","ZNF100","80177"
"9606.ENSP00000351047","ICA1L","4615"
"9606.ENSP00000351049","PAK4","50804"
"9606.ENSP00000351052","ZC3HC1","26579"
"9606.ENSP00000351059","CX3CR1",NA
"9606.ENSP00000351068","KCNMB2","4617"
"9606.ENSP00000351075","SUSD2","4618"
"9606.ENSP00000351086","RPS6KL1","4619"
"9606.ENSP00000351100","WDR55","4628"
"9606.ENSP00000351108","HNRNPAB","4629"
"9606.ENSP00000351113","FRYL","8735"
"9606.ENSP00000351118","CDHR5","79784"
"9606.ENSP00000351141","WTAP","22989"
"9606.ENSP00000351147","DCAF4","4620"
"9606.ENSP00000351153","PARPBP","4621"
"9606.ENSP00000351155","ATL1","4622"
"9606.ENSP00000351157","TXNDC15","4624"
"9606.ENSP00000351190","ITIH2","4625"
"9606.ENSP00000351206","TXLNB","57644"
"9606.ENSP00000351207","KIAA1671","4626"
"9606.ENSP00000351209","EPHA2","4627"
"9606.ENSP00000351211","OR6C6","4632"
"9606.ENSP00000351214","TOMM7","93408"
"9606.ENSP00000351244","VN1R2","10627"
"9606.ENSP00000351248","C16orf47","103910"
"9606.ENSP00000351250","TRIM33","4633"
"9606.ENSP00000351255","STAT4","4634"
"9606.ENSP00000392024","ZNF844","4635"
"9606.ENSP00000351259","FAM21B","4636"
"9606.ENSP00000351273","CASP8","4637"
"9606.ENSP00000351280","ZNF429","140465"
"9606.ENSP00000351284","RAD52","58498"
"9606.ENSP00000351310","COL6A6","10398"
"9606.ENSP00000351314","PSMB10","29116"
"9606.ENSP00000351318","PLEKHG1","4638"
"9606.ENSP00000351325","PATE2","85366"
"9606.ENSP00000351327","AKAP4","91807"
"9606.ENSP00000351333","ARHGAP19","340156"
"9606.ENSP00000351342","PTPN5","29895"
"9606.ENSP00000351345","FAM150A","55892"
"9606.ENSP00000351346","VPS13B","4651"
"9606.ENSP00000351363","MSMB","51168"
"9606.ENSP00000351379","PFN3","80022"
"9606.ENSP00000351380","TMA16","23026"
"9606.ENSP00000351384","ANKRD36BP1","399687"
"9606.ENSP00000351391","ZNF781","84700"
"9606.ENSP00000351395","SCGB1D4","80179"
"9606.ENSP00000351407","ARNT","4640"
"9606.ENSP00000351446","WDR5","4430"
"9606.ENSP00000351466","OR5AC2","4641"
"9606.ENSP00000351473","GIMAP5","4642"
"9606.ENSP00000351480","ENSG00000258555","4643"
"9606.ENSP00000351482","ZNF707","4542"
"9606.ENSP00000351484","NAALADL1","64005"
"9606.ENSP00000351490","MAX","283446"
"9606.ENSP00000351492","UBL5","53904"
"9606.ENSP00000351497","FCGR2B","140469"
"9606.ENSP00000351503","SPATS2L","4644"
"9606.ENSP00000351520","ENTPD4","4645"
"9606.ENSP00000351524","HELZ","55930"
"9606.ENSP00000351530","ZXDA","4646"
"9606.ENSP00000352177","ADAM29","4647"
"9606.ENSP00000351536","QSOX2","4648"
"9606.ENSP00000351539","ZNF238","4649"
"9606.ENSP00000351552","GATAD2A","4650"
"9606.ENSP00000351575","BDP1","4653"
"9606.ENSP00000351589","HIST1H2AI","93649"
"9606.ENSP00000351591","NLGN3","4654"
"9606.ENSP00000351593","SMTN","26509"
"9606.ENSP00000351596","TTC37","4656"
"9606.ENSP00000351598","ENSG00000196979","8736"
"9606.ENSP00000351602","FUT4","9172"
"9606.ENSP00000351605","FZD6","127294"
"9606.ENSP00000351608","PRRT2","9499"
"9606.ENSP00000351618","PARD3B","58529"
"9606.ENSP00000351625","ENSG00000196758","51778"
"9606.ENSP00000351631","FAM76B","91977"
"9606.ENSP00000351632","FAM3D","84665"
"9606.ENSP00000351642","BCAS4","339344"
"9606.ENSP00000351644","GTPBP3","25924"
"9606.ENSP00000351650","NUDT3","114803"
"9606.ENSP00000351653","ENSG00000197502","4661"
"9606.ENSP00000351664","MICAL1","23040"
"9606.ENSP00000351669","MANEA","100820829"
"9606.ENSP00000351671","CCL20","51237"
"9606.ENSP00000351682","CNDP1","7593"
"9606.ENSP00000351684","CAMSAP2","440145"
"9606.ENSP00000351686","PRDM10","653784"
"9606.ENSP00000351695","PNLIPRP1","80097"
"9606.ENSP00000351697","REV3L","9683"
"9606.ENSP00000351706","GK2","55728"
"9606.ENSP00000351717","ABCB8","90634"
"9606.ENSP00000351727","CCER1","10443"
"9606.ENSP00000351732","TMC2","23138"
"9606.ENSP00000351737","TMEM126B","29104"
"9606.ENSP00000351740","FAM114A1",NA
"9606.ENSP00000351755","LPAR1","8260"
"9606.ENSP00000351767","COL20A1","84779"
"9606.ENSP00000352182","FAM86C1","80155"
"9606.ENSP00000351769","DUS2L","79612"
"9606.ENSP00000351777","VCP","51126"
"9606.ENSP00000351783","FAM222A","80018"
"9606.ENSP00000351789","PELI1","122830"
"9606.ENSP00000351790","MYPN","60560"
"9606.ENSP00000351811","EDC4","84316"
"9606.ENSP00000351813","MARCH5","79829"
"9606.ENSP00000351832","RAB3GAP2","80218"
"9606.ENSP00000351856","POTEC","79903"
"9606.ENSP00000351875","ANKRD30B","27163"
"9606.ENSP00000351883","ZSCAN5B","10003"
"9606.ENSP00000351884","SPANXC","10004"
"9606.ENSP00000351885","PPP2R4","254827"
"9606.ENSP00000353408","MSN","4664"
"9606.ENSP00000351894","NCOA6","4665"
"9606.ENSP00000351905","TGFBR2","64859"
"9606.ENSP00000351908","MAP3K5","79035"
"9606.ENSP00000351926","AP2A1","4666"
"9606.ENSP00000351933","KLHL9","342538"
"9606.ENSP00000351937","C17orf80","23148"
"9606.ENSP00000351939","ZNF574","112939"
"9606.ENSP00000352272","MYOZ1","138151"
"9606.ENSP00000352273","DIO3","65220"
"9606.ENSP00000352282","KLHDC1",NA
"9606.ENSP00000351947","SMARCAD1","55191"
"9606.ENSP00000351957","PDE3A","8883"
"9606.ENSP00000351967","C9orf169","92345"
"9606.ENSP00000351981","SGMS2","4668"
"9606.ENSP00000351989","SFTA2","55577"
"9606.ENSP00000352011","CACNA1G","4669"
"9606.ENSP00000352021","NOL12","51172"
"9606.ENSP00000352028","SH3RF2","162417"
"9606.ENSP00000352035","KCNQ2","203245"
"9606.ENSP00000352047","GULP1","4671"
"9606.ENSP00000352064","KLRC1","259232"
"9606.ENSP00000352071","CD163","10135"
"9606.ENSP00000352284","TMEM139",NA
"9606.ENSP00000353415","PRKAR1B","79923"
"9606.ENSP00000353422","VPS13A","360030"
"9606.ENSP00000352097","SPTSSB","404635"
"9606.ENSP00000352101","ANXA8L1","340719"
"9606.ENSP00000352111","GOLGA8A","339345"
"9606.ENSP00000352119","HIST1H2AG","342977"
"9606.ENSP00000352121","PIK3CG","140838"
"9606.ENSP00000352138","KIRREL","54187"
"9606.ENSP00000352144","B4GALT4","4673"
"9606.ENSP00000352157","MAPK10","4674"
"9606.ENSP00000352162","ELAVL3","4675"
"9606.ENSP00000352163","LYPD2","4676"
"9606.ENSP00000352167","SLC25A29","266812"
"9606.ENSP00000352172","VSIG10","645996"
"9606.ENSP00000352173","PLAC1","8775"
"9606.ENSP00000452326","ENSG00000258708","63908"
"9606.ENSP00000352185","PHF2","222236"
"9606.ENSP00000352208","MYOF","8774"
"9606.ENSP00000352216","SLC2A10",NA
"9606.ENSP00000352219","BCS1L","9476"
"9606.ENSP00000352222","CTPS2","26502"
"9606.ENSP00000352233","ZNF705A","64428"
"9606.ENSP00000352248","ANXA10",NA
"9606.ENSP00000352252","HIST1H3J","4677"
"9606.ENSP00000352257","XRCC6","79731"
"9606.ENSP00000352264","CD2AP","4678"
"9606.ENSP00000352265","TPGS1","9"
"9606.ENSP00000352268","AADACL3","55226"
"9606.ENSP00000352270","CMTM5","57106"
"9606.ENSP00000352271","XRCC2","375607"
"9606.ENSP00000352288","PLXNB2","10"
"9606.ENSP00000352295","CGB2","24142"
"9606.ENSP00000352305","OR51A7","9027"
"9606.ENSP00000352314","KLHL14","339983"
"9606.ENSP00000352319","ARSF","26151"
"9606.ENSP00000352336","PLCG2","89796"
"9606.ENSP00000352358","TRPV6","89797"
"9606.ENSP00000352400","NUP214","89795"
"9606.ENSP00000352401","RPE","51594"
"9606.ENSP00000352408","BABAM1","26960"
"9606.ENSP00000352413","TMC3","65065"
"9606.ENSP00000352414","FGF17","23218"
"9606.ENSP00000352420","LDLRAD4","4681"
"9606.ENSP00000352833","PTPN22","4683"
"9606.ENSP00000352424","TIAF1","100132406"
"9606.ENSP00000352425","WASF1","200030"
"9606.ENSP00000352427","RGR","149013"
"9606.ENSP00000352438","PCBP2","25832"
"9606.ENSP00000352442","HIST1H2BM","284565"
"9606.ENSP00000352444","ZNF33B",NA
"9606.ENSP00000352447","C1orf116","100288142"
"9606.ENSP00000352455","MFAP5",NA
"9606.ENSP00000352456","SLC33A1","84224"
"9606.ENSP00000352458","PLGLB2","148545"
"9606.ENSP00000352463","TCF20","653149"
"9606.ENSP00000352497","SLC25A44","400818"
"9606.ENSP00000352498","WASH6P","4077"
"9606.ENSP00000352510","TECPR2","83988"
"9606.ENSP00000353508","MAP2","4684"
"9606.ENSP00000352513","MPZL1","4685"
"9606.ENSP00000352516","DNMT1","1463"
"9606.ENSP00000352522","ATP6V1H","9918"
"9606.ENSP00000352527","KCNK5","23310"
"9606.ENSP00000352540","EMP2","64151"
"9606.ENSP00000352544","CPLX2","54892"
"9606.ENSP00000352547","GPAT2","23397"
"9606.ENSP00000352561","CALCR","29781"
"9606.ENSP00000352565","HAND2","4686"
"9606.ENSP00000353701","DPP3","22916"
"9606.ENSP00000352572","PCNT","392517"
"9606.ENSP00000352575","INPP5D","342897"
"9606.ENSP00000352584","AKR1B10","23154"
"9606.ENSP00000352601","LRP10","57552"
"9606.ENSP00000352603","AP4M1","653361"
"9606.ENSP00000352604","OR2T3","4688"
"9606.ENSP00000352606","HAPLN3","4689"
"9606.ENSP00000352608","RYR1","4690"
"9606.ENSP00000352614","ZSWIM5","8440"
"9606.ENSP00000352626","OR6K2","10787"
"9606.ENSP00000353344","ETS2","3071"
"9606.ENSP00000353346","LHFPL5","344148"
"9606.ENSP00000352627","HIST1H2AM","57701"
"9606.ENSP00000352639","CELA2A","51517"
"9606.ENSP00000352645","TYW1","4691"
"9606.ENSP00000352655","SLC39A10","56926"
"9606.ENSP00000352657","ME3","400746"
"9606.ENSP00000352668","RBM12","8648"
"9606.ENSP00000352671","OSCAR","10499"
"9606.ENSP00000352672","PGLYRP4","8202"
"9606.ENSP00000352673","ELF3","8031"
"9606.ENSP00000352676","ZRANB1","57727"
"9606.ENSP00000352926","TEAD4","23054"
"9606.ENSP00000352678","SUPV3L1","135112"
"9606.ENSP00000352702","SLC6A12","9611"
"9606.ENSP00000352704","C20orf112","9612"
"9606.ENSP00000352706","HIBCH","9437"
"9606.ENSP00000352710","OR2M2","9436"
"9606.ENSP00000352717","OR13G1","259197"
"9606.ENSP00000352734","RNF217","374383"
"9606.ENSP00000352738","G3BP2","23413"
"9606.ENSP00000352782","PHOSPHO2","23385"
"9606.ENSP00000352785","DSG4","10403"
"9606.ENSP00000352802","WIPF1","54820"
"9606.ENSP00000352820","WDSUB1","81565"
"9606.ENSP00000352821","ZDHHC14","80762"
"9606.ENSP00000352927","SOGA2","54602"
"9606.ENSP00000352834","MYO1C","4692"
"9606.ENSP00000352835","MB","79625"
"9606.ENSP00000352836","ZNF675",NA
"9606.ENSP00000352839","NPSR1","27158"
"9606.ENSP00000352841","CEP57L1","4693"
"9606.ENSP00000352846","ZNF808","10397"
"9606.ENSP00000352849","SIRPB2","57447"
"9606.ENSP00000352852","MDK","57446"
"9606.ENSP00000352900","RXRG","65009"
"9606.ENSP00000352904","NT5C1B","3340"
"9606.ENSP00000352918","ARPC5","8509"
"9606.ENSP00000352920","ZMYM1","9348"
"9606.ENSP00000352928","DDA1","64579"
"9606.ENSP00000353362","CACNA1A","4694"
"9606.ENSP00000353373","CUEDC1","4705"
"9606.ENSP00000452338","ENSG00000258729","126328"
"9606.ENSP00000352929","CSNK1E","55967"
"9606.ENSP00000352936","SPINK5","51079"
"9606.ENSP00000352941","KCTD18","4695"
"9606.ENSP00000352954","LOC729159","4696"
"9606.ENSP00000352955","FAM3A","4697"
"9606.ENSP00000352956","RBM23","56901"
"9606.ENSP00000352962","LPPR3","4698"
"9606.ENSP00000352976","AMZ2","4700"
"9606.ENSP00000352980","HIST1H4A","4701"
"9606.ENSP00000352992","ART5","4702"
"9606.ENSP00000352995","ARHGEF18","4704"
"9606.ENSP00000353007","SULF2","4706"
"9606.ENSP00000353010","ATG2B","51103"
"9606.ENSP00000353013","CLEC14A","91942"
"9606.ENSP00000353025","FAM3C","25915"
"9606.ENSP00000353030","PTPRF","29078"
"9606.ENSP00000353044","OR2L3","79133"
"9606.ENSP00000353048","CCT8L2","137682"
"9606.ENSP00000353058","ZNF517","55471"
"9606.ENSP00000353072","ATP2A3","4707"
"9606.ENSP00000353089","SRSF2","4716"
"9606.ENSP00000353093","TCEAL8","54539"
"9606.ENSP00000353094","SDF4","4708"
"9606.ENSP00000353098","MCMBP","4709"
"9606.ENSP00000353099","HLA-DRB1","4710"
"9606.ENSP00000353104","DHDDS","4711"
"9606.ENSP00000353114","AHNAK2","4712"
"9606.ENSP00000353128","DCAF12L2","4713"
"9606.ENSP00000353129","KCTD8","4714"
"9606.ENSP00000353132","DMBX1","4715"
