"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000170564","GPATCH1","653857"
"9606.ENSP00000170630","IL4R","79913"
"9606.ENSP00000171111","KEAP1","64431"
"9606.ENSP00000171214","RDH8","93973"
"9606.ENSP00000171757","P2RY10","139741"
"9606.ENSP00000271385","DUSP27","140625"
"9606.ENSP00000172229","NGFR","84517"
"9606.ENSP00000173229","NTN1","90"
"9606.ENSP00000173527","ISOC1","91"
"9606.ENSP00000173898","TRO","130399"
"9606.ENSP00000174618","MNT","92"
"9606.ENSP00000174653","AP3M2","93"
"9606.ENSP00000175091","LAPTM4A","94"
"9606.ENSP00000175238","ADAM7","95"
"9606.ENSP00000175506","ASNS","91703"
"9606.ENSP00000175756","PTPN18","97"
"9606.ENSP00000176183","DRD4","98"
"9606.ENSP00000176195","SCT","100"
"9606.ENSP00000176763","STK10","132612"
"9606.ENSP00000177694","TBX21","161931"
"9606.ENSP00000178638","CA12","161823"
"9606.ENSP00000178640","MAP2K5","102"
"9606.ENSP00000179259","C12orf5","4185"
"9606.ENSP00000180166","FGF20","8038"
"9606.ENSP00000180173","MTMR7","8751"
"9606.ENSP00000181383","CPB2","6868"
"9606.ENSP00000181796","FAM107B","8749"
"9606.ENSP00000181839","CDK13","8728"
"9606.ENSP00000182096","CRYBG3","2515"
"9606.ENSP00000182290","TSPAN32","8748"
"9606.ENSP00000182377","FAR2","8747"
"9606.ENSP00000182527","TRAM2","53616"
"9606.ENSP00000183605","CLDN18","8745"
"9606.ENSP00000184183","ROPN1","10863"
"9606.ENSP00000184266","NDUFB4","11086"
"9606.ENSP00000337122","ZNF354A","11085"
"9606.ENSP00000185150","ERLEC1","203102"
"9606.ENSP00000185206","CLIC5","80332"
"9606.ENSP00000186436","TMEM131","8756"
"9606.ENSP00000187397","ARPP21","101"
"9606.ENSP00000187762","TMEM38A","8754"
"9606.ENSP00000188312","ACTR6","27299"
"9606.ENSP00000188790","FAP","9510"
"9606.ENSP00000190165","DMRT3","81794"
"9606.ENSP00000190983","WISP2","81792"
"9606.ENSP00000192314","GAL3ST2","11093"
"9606.ENSP00000192788","UHRF1BP1","140766"
"9606.ENSP00000193322","OSTM1","170689"
"9606.ENSP00000193391","IMPG2","170690"
"9606.ENSP00000194118","KIAA0141","170691"
"9606.ENSP00000275358","VWDE","170692"
"9606.ENSP00000194130","SLC13A1","171019"
"9606.ENSP00000194152","PCDHB4","9509"
"9606.ENSP00000194155","PCDHB2","80070"
"9606.ENSP00000194214","HSPB11","9508"
"9606.ENSP00000194530","STRADB","9507"
"9606.ENSP00000195455","C4orf6","11096"
"9606.ENSP00000195654","DOPEY1","11174"
"9606.ENSP00000196061","PLOD1","11173"
"9606.ENSP00000196371","OXCT1","11095"
"9606.ENSP00000196482","ZNF324","56999"
"9606.ENSP00000196489","ZNF416","92949"
"9606.ENSP00000196548","ZNF8","9719"
"9606.ENSP00000196551","RPS5","57188"
"9606.ENSP00000197268","KIAA1467","54507"
"9606.ENSP00000198536","PILRA","339366"
"9606.ENSP00000198765","CPNE3","11033"
"9606.ENSP00000198767","RRN3","55803"
"9606.ENSP00000279147","ORAOV1","103"
"9606.ENSP00000198801","MOGAT2","104"
"9606.ENSP00000199280","AQP2","105"
"9606.ENSP00000199320","DIMT1","23536"
"9606.ENSP00000199389","EIF2AK1","134637"
"9606.ENSP00000199447","NME8","113179"
"9606.ENSP00000199706","MRPL28",NA
"9606.ENSP00000199708","HBQ1","57143"
"9606.ENSP00000199764","CEACAM6","90956"
"9606.ENSP00000199814","RBM22",NA
"9606.ENSP00000199936","HSD17B2",NA
"9606.ENSP00000200135","ZW10","203054"
"9606.ENSP00000200181","ITGB4","107"
"9606.ENSP00000202017","PDRG1","55811"
"9606.ENSP00000258243","URB2","108"
"9606.ENSP00000200453","PPP1R15A","109"
