"symbol1","symbol2","MF","BP","CC"
"VTN","TNF",0.344,0.526,0.513
"VTN","PLAUR",0.355,0.569,0.318
"VTN","SPARC",0.379,0.475,0.504
"VTN","PF4",0.385,0.48,0.538
"VTN","AMBP",0.263,0.495,0.669
"VTN","VWF",0.583,0.61,0.669
"VTN","AKT1",0.17,0.52,0.341
"VTN","ITGA2B",0.361,0.304,0.591
"FRG1","TNNT3",0.46,0.021,0.367
"SPI1","QRSL1",0.177,0.317,0.226
"SPI1","TAL1",0.727,0.696,0.728
"SPI1","GATA2",0.754,0.628,0.7
"SPI1","CSF3R",0.149,0.147,0.019
"SPI1","STAT3",0.674,0.44,0.622
"SPI1","STAT5A",0.509,0.35,0.626
"SPI1","IL7R",0.152,0.365,0.157
"SPI1","SRF",0.731,0.555,0.7
"SPI1","MCM3AP",NA,NA,0.531
"SPI1","IRF2",0.716,0.597,0.522
"SPI1","NDRG2",0.657,0.195,0.214
"SPI1","CEBPA",0.721,0.622,0.722
"SPI1","IL32",0.657,0.098,0.068
"SPI1","SDHC",0.087,0.181,0.201
"SPI1","CD53",0.657,0.277,0.128
"SPI1","PRAM1",0.201,0.17,0.019
"SPI1","NONO",0.657,0.478,0.597
"SPI1","CLPP",0.16,0.245,0.344
"SPI1","HCK",0.174,0.43,0.348
"SPI1","CD68",NA,0.385,0.129
"SPI1","TNF",0.401,0.429,0.052
"SPI1","VAV1",0.406,0.272,0.074
"SPI1","HDAC3",0.28,0.57,0.461
"SPI1","NPM1",0.36,0.489,0.377
"SPI1","ZFPM1",0.807,0.551,0.587
"MYL2","MYL6",0.41,0.672,0.521
"MYL2","TCAP",0.454,0.719,0.74
"MYL2","MYO18B",NA,NA,0.866
"MYL2","PPP3CC",0.237,0.044,0.351
"MYL2","TNNT2",0.567,0.731,0.86
"MYL2","ACTA1",0.609,0.643,0.617
"MYL2","TPM2",0.543,0.584,0.812
"MYL2","OBSCN",0.52,0.293,0.673
"MYL2","MIB2",0.242,0.046,0.344
"MYL2","AKT1",0.235,0.221,0.501
"MYL2","PLK1",0.34,0.19,0.59
"MYL2","MYL3",0.755,0.823,0.866
"MYL2","CAMK2A",0.189,0.206,0.274
"MYL2","TNNI1",0.657,0.651,0.746
"MYL2","TBX5",0.185,0.511,0.275
"MYL2","TNNI2",0.493,0.659,0.692
"MYL2","TNNT3",0.536,0.745,0.746
"UNC93A","KCNK9",NA,NA,0.825
"UNC93A","KCNK3",NA,NA,0.825
"HARS2","MARS",0.699,0.518,0.46
"HARS2","PEPD",0.324,0.837,0.295
"SPARC","VWF",0.406,0.381,0.705
"SPARC","VEGFB",0.225,0.616,0.726
"SPARC","ACTN4",0.273,0.521,0.523
"SPARC","TMSB4X",0.26,0.482,0.656
"SPARC","STAB1",0.277,0.504,0.314
"SPARC","PF4",0.308,0.41,0.684
"HAND1","SLC25A23",0.188,0,0.341
"HAND1","IRX4",0.945,NA,NA
"IRX4","TBX5",0.945,NA,NA
"NCK2","TNK2",0.199,0.564,0.343
