"symbol1","symbol2","MF","BP","CC"
"EXOSC5","MPHOSPH6",0.095,0.332,0.366
"EXOSC5","RPL41",0.031,0.29,0.178
"EXOSC5","ZFP36L1",0.047,0.254,0.174
"EXOSC5","RPLP0",0.047,0.313,0.14
"EXOSC5","RPL35",0.028,0.367,0.202
"EXOSC5","RPL30",0.047,0.324,0.149
"EXOSC5","RPL14",0.055,0.374,0.149
"EXOSC5","RPL32",0.023,0.29,0.164
"EXOSC5","KHSRP",0.056,0.386,0.312
"EXOSC5","KPNA6",0.047,0,0.176
"EXOSC5","RPL8",0.023,0.29,0.139
"EXOSC5","EXOSC7",0.259,0.625,0.409
"EXOSC5","EXOSC3",0.302,0.685,0.433
"EXOSC5","RPL10",0.039,0.303,0.162
"EXOSC5","RPL37",0.023,0.297,0.176
"EXOSC5","RPL37A",0.047,0.297,0.161
"PAF1","GTF2F1",0.168,0.285,0.266
"PAF1","POLR2L",0.042,0.279,0.268
"PAF1","CSNK2B",0.131,0.246,0.139
"PAF1","KLC2",0.087,0.069,0.155
"PAF1","KIAA0101",NA,NA,NA
"PAF1","GTF2H4",0.042,0.29,0.275
"PAF1","IFIT2",0.075,0.179,0.074
"RELB","NFKB2",0.254,0.328,0.183
"RELB","PSMB4",0.042,0.086,0.176
"RELB","PSME4",0.047,0.181,0.191
"RELB","PSMA7",0.047,0.086,0.166
"RELB","STAT3",0.246,0.275,0.179
"RELB","TRAF5",0.105,0.239,0.207
"RELB","TNF",0.172,0.293,0.038
"RELB","NFKBIB",0.124,0.166,0.227
"RELB","AKT1",0.081,0.249,0.188
"RELB","ANXA5",0.081,0.205,0.07
"RELB","DAXX",0.172,0.225,0.171
"RELB","IRF3",0.234,0.381,0.145
"RELB","CORT",0.052,0.129,0
"SF3A2","RANGAP1",0.136,0.03,0.146
"SF3A2","AGPAT1",0.059,0.096,0.104
"SF3A2","LSM2",0.19,0.42,0.408
"SF3A2","PCBP2",0.158,0.252,0.135
"SF3A2","GTF2F1",0.109,0.267,0.202
"SF3A2","POLR2L",0.035,0.277,0.225
"SF3A2","RBM10",0.169,NA,0.198
"SF3A2","EEF2",0.176,0.172,0.167
"SF3A2","CPSF1",0.171,0.381,0.203
"SF3A2","EIF4G3",0.245,0.191,0.151
"SF3A2","XAB2",0.095,0.399,0.364
"SF3A2","CTNNBL1",0.083,0.326,0.307
"SF3A2","LSM7",0.209,0.42,0.45
"SF3A2","PCBP1",0.192,0.348,0.214
"FSD1","SRF",0.082,0.096,0.096
"FSD1","MYOG",0.085,0.137,0.08
"FSD1","RPS2",0.074,0.122,0.101
"CD79A","SELL",0.068,0.238,0.25
"CD79A","SLC3A2",0.059,0.12,0.205
"CD79A","IL13",0.095,0.148,0
"CD79A","VWF",0.148,0.213,0.128
"CD79A","IL7R",0.055,0.24,0.23
"CD79A","CD7",0,0.303,0.155
"CD79A","AKT1",0.109,0.166,0.15
"CD79A","CXCR4",0.061,0.184,0.275
"CD79A","UNG",0.063,0.098,0.057
"CD79A","GGT1",0.057,0.106,0.164
"CD79A","COX5A",0.057,0.034,0.197
"CD79A","CD68",NA,0.354,0.216
"CD79A","TNF",0.135,0.208,0.298
"CD79A","VAV1",0.071,0.3,0.156
"CD79A","SPN",0.095,0.253,0.189
"CD79A","CD72",0.076,0,0.191
"CD79A","HLA-DRB1",0.046,0.324,0.315
"CD79A","TNFRSF13B",0.071,0.368,0.187
"CD79A","CFP",0.071,0.311,0.104
"CD79A","MGAM",0,0.239,0.237
"CD79A","S100A8",0.079,0.209,0.14
"CD79A","AMBP",0.124,0.166,0.173
"CD79A","SOS1",0.081,0.245,0.148
"LIM2","GJA8",NA,0,0.187
"LIM2","FTL",NA,0.034,0.034
"RABAC1","RAB5C",0.066,NA,0.117
"DBP","CEBPA",0.216,0.169,0.146
"DBP","BATF",0.27,0.072,0.146
"MLL4","HCFC1",NA,NA,NA
"MLL4","HDAC3",NA,NA,NA
"COMP","TNFRSF10C",0,0.151,0
"COMP","UNG",0.113,0.021,0.047
"COMP","HINT1",0.099,0.087,0.16
"COMP","TYRO3",0.054,0.168,0.03
"COMP","MICAL1",0.118,0.123,0.019
"COMP","FOXM1",0.086,0.136,0.082
"COMP","ITGA2B",0.068,0.224,0.206
"COMP","NES",0.361,0.146,0.028
"COMP","TH",0.098,0.148,0.06
"COMP","ECE1",0.106,0.166,0.156
"COMP","SH3GL1",0.071,0.144,0
"COMP","MCL1",0.067,0.222,0.03
"COMP","COL9A3",0.17,0.253,0.235
"COMP","NDP",0.075,0.13,0.206
"COMP","ZBTB32",0.106,0.061,0.041
"COMP","RAB5C",0.143,0.054,0.203
"COMP","TNIP1",0.108,0.075,0.023
"COMP","AMBP",0.099,0.115,0.21
"HAMP","GDF15",NA,0.185,0.151
"HAMP","STAT3",NA,0.237,0
"HAMP","TNF",NA,0.235,0.086
"HAMP","FTL",NA,0.364,0.095
"DLX5","FGF8",0.017,0.3,0
"DLX5","MSX1",0.152,0.186,0.209
"DLX5","WNT10B",0.031,0.277,0
"MOSPD3","OSBPL1A",NA,NA,NA
"MOSPD3","ISYNA1",NA,NA,NA
"FIS1","RHOT2",0.066,0.401,0.3
"FIS1","DNM2",0.077,0.273,0.125
"FIS1","ZNHIT1",0.085,0.21,0.116
"C8G","LCN1",NA,0.318,0.241
"C8G","VTN",NA,0.599,0.263
"ACTA2","MYL2",0.095,0.291,0.102
"ACTA2","RASL10B",NA,0.178,NA
"ACTA2","EGR1",0.28,0.281,0.055
"ACTA2","MYL6",0.095,0.254,0.156
"ACTA2","TMSB4X",0.28,0.225,0.123
"ACTA2","PRKCG",0,0.179,0.127
"ACTA2","ANXA5",0.414,0.134,0.126
"ACTA2","GSPT2",0.095,0.126,0.099
"ACTA2","RHOG",0.414,0.172,0.169
"ACTA2","DYNC1H1",0.095,0.063,0.156
"ACTA2","EEF2",0.414,0.162,0.148
"ACTA2","MYO18B",NA,NA,0.186
"ACTA2","ACTN4",0.095,0.166,0.176
"ACTA2","TNNT2",0.095,0.286,0.113
"ACTA2","HK3",0,0.114,0.143
"ACTA2","RPL14",0.095,0.112,0.154
"ACTA2","RPS23",0.095,0.124,0.112
"ACTA2","CALML5",0.046,0.14,0.111
"ACTA2","ARPC4",0.28,0.109,0.158
"ACTA2","VWF",0.28,0.093,0.162
"ACTA2","OBSCN",0.28,0.16,0.082
"ACTA2","TUBB",0.28,0.053,0.18
"ACTA2","SRF",0.095,0.275,0.055
"ACTA2","DIRAS3",0.095,0.125,NA
"ACTA2","ARPC5",0.095,0.091,0.151
"ACTA2","RPL18",0.046,0.123,0.098
"ACTA2","AKT1",0.28,0.18,0.112
"ACTA2","CDC25A",0.414,0.103,0.08
"ACTA2","MYL3",0.095,0.292,0.107
"ACTA2","PGK1",0.095,0.211,0.137
"ACTA2","PLK1",0.414,0.108,0.092
"ACTA2","CALB2",0.046,0.08,0.141
"ACTA2","SMARCD3",0.095,0.213,0.088
"ACTA2","TUBB2B",0.095,0.181,0.054
"ACTA2","TNF",0.28,0.215,0.094
"ACTA2","DIRAS2",0.046,NA,0.022
"ACTA2","DNAH11",0.095,0.101,0.186
"ACTA2","HDAC3",0.28,0.151,0.101
"ACTA2","DNM2",0.28,0.15,0.147
"ACTA2","SP1",0.28,0.308,0.08
"ACTA2","FAU",0.046,NA,NA
"ACTA2","ARPC1B",0.095,0.108,0.151
"ACTA2","MYO1A",NA,0.11,0.15
"ACTA2","RHOBTB1",0.414,0.121,0.072
"ACTA2","HRAS",0.095,0.201,0.078
"ACTA2","GABARAP",0.28,0.102,0.142
"ACTA2","CABP2",0,0.177,0.049
"ACTA2","TPM2",0.095,0.19,0.077
"ACTA2","ZNHIT1",0.28,0.081,0.071
"WNT3","GBX2",0,0.276,NA
"WNT3","DHH",0.079,NA,NA
"WNT3","MSX1",0.076,0.243,0.09
"WNT3","AKT1",0.086,0.223,0.149
"WNT3","TCF7",0.061,0.234,0.122
"WNT3","EVX1",0,NA,0.191
"WNT3","PORCN",0,0.19,0.149
"WNT3","WNT10B",0.44,0.393,0.121
"WNT3","WNT11",0.299,0.315,0.147
"WNT3","FGF8",0.11,0.293,0.214
"PIGL","MSX1",0,0.019,0.12
"PIGL","GYS1",0.142,0.218,0.117
"VTN","TNF",0.133,0.326,0.211
"VTN","PLAUR",0.105,0.331,0.146
"VTN","SPARC",0.143,0.27,0.187
"VTN","PF4",0.156,0.274,0.19
"VTN","AMBP",0.11,0.275,0.253
"VTN","VWF",0.27,0.335,0.23
"VTN","AKT1",0.05,0.306,0.114
"VTN","ITGA2B",0.076,0.186,0.262
"FRG1","TNNT3",0.211,0.034,0.295
"SPI1","QRSL1",0.047,0.185,0.09
"SPI1","TAL1",0.285,0.372,0.257
"SPI1","GATA2",0.296,0.336,0.172
"SPI1","CSF3R",0.047,0.076,0.019
"SPI1","STAT3",0.266,0.232,0.199
"SPI1","STAT5A",0.144,0.185,0.178
"SPI1","IL7R",0.043,0.21,0.093
"SPI1","SRF",0.286,0.297,0.172
"SPI1","MCM3AP",NA,NA,0.151
"SPI1","IRF2",0.236,0.278,0.148
"SPI1","NDRG2",0.095,0.109,0.083
"SPI1","CEBPA",0.276,0.304,0.183
"SPI1","IL32",0.095,0.069,0.037
"SPI1","SDHC",0.06,0.136,0.091
"SPI1","CD53",0.095,0.172,0.071
"SPI1","PRAM1",0.057,0.117,0.018
"SPI1","NONO",0.26,0.232,0.181
"SPI1","CLPP",0.047,0.145,0.137
"SPI1","HCK",0.051,0.235,0.117
"SPI1","CD68",NA,0.234,0.08
"SPI1","TNF",0.151,0.244,0.037
"SPI1","VAV1",0.124,0.162,0.041
"SPI1","HDAC3",0.119,0.287,0.137
"SPI1","NPM1",0.174,0.272,0.113
"SPI1","ZFPM1",0.321,0.346,0.148
"MYL2","MYL6",0.193,0.403,0.267
"MYL2","TCAP",0.257,0.465,0.351
"MYL2","MYO18B",NA,NA,0.611
"MYL2","PPP3CC",0.065,0.048,0.136
"MYL2","TNNT2",0.275,0.448,0.477
"MYL2","ACTA1",0.312,0.417,0.286
"MYL2","TPM2",0.31,0.349,0.398
"MYL2","OBSCN",0.286,0.204,0.318
"MYL2","MIB2",0.061,0.047,0.114
"MYL2","AKT1",0.086,0.15,0.181
"MYL2","PLK1",0.146,0.137,0.255
"MYL2","MYL3",0.544,0.532,0.444
"MYL2","CAMK2A",0.06,0.15,0.112
"MYL2","TNNI1",0.095,0.403,0.392
"MYL2","TBX5",0.055,0.327,0.117
"MYL2","TNNI2",0.228,0.403,0.361
"MYL2","TNNT3",0.261,0.465,0.392
"UNC93A","KCNK9",NA,NA,0.208
"UNC93A","KCNK3",NA,NA,0.208
"HARS2","MARS",0.589,0.345,0.127
"HARS2","PEPD",0.102,0.441,0.108
"SPARC","VWF",0.193,0.218,0.35
"SPARC","VEGFB",0.08,0.36,0.349
"SPARC","ACTN4",0.119,0.315,0.22
"SPARC","TMSB4X",0.071,0.304,0.286
"SPARC","STAB1",0.111,0.27,0.199
"SPARC","PF4",0.109,0.241,0.302
"HAND1","SLC25A23",0.051,0,0.101
"HAND1","IRX4",0.258,NA,NA
"IRX4","TBX5",0.258,NA,NA
