"symbol1","symbol2","MF","BP","CC"
"RHOG","RHOBTB1",0.399,0.349,0.123
"RHOG","ARHGEF16",0.19,0.35,0.227
"RHOG","ARHGAP17",0.114,0.309,0.097
"RHOG","ARHGAP9",0.118,0.276,0.168
"RHOG","FGD3",0.18,0.338,0.162
"RHOG","RHOT2",0.308,0.28,0.159
"ARR3","ARRB2",0.095,NA,0.069
"ARR3","FSHR",0.095,NA,0.015
"ARR3","CXCR4",0.095,NA,0.053
"ARRB2","CSK",0.123,0.267,0.169
"ARRB2","DYNC1H1",0.084,0.195,0.143
"ARRB2","EEF2",0.133,0.222,0.158
"ARRB2","HCK",0.142,0.308,0.14
"ARRB2","MYL6",0.128,0.098,0.144
"ARRB2","NONO",0.072,0.24,0.113
"ARRB2","RAB5C",0.081,0.227,0.217
"ARRB2","RANGAP1",0.129,0.152,0.126
"ARRB2","RPL4",0.146,0.178,0.143
"ARRB2","RPL7",0.127,0.185,0.121
"ARRB2","RPL11",0.215,0.307,0.152
"ARRB2","RPL18",0.119,0.179,0.134
"ARRB2","RPLP0",0.137,0.225,0.131
"ARRB2","RPLP2",0.157,0.178,0.154
"ARRB2","CXCR4",0.122,0.299,0.153
"ARRB2","RBM10",0.083,NA,0.091
"ARRB2","RPL14",0.141,0.184,0.159
"ARRB2","NUDC",0.095,0.055,0.129
"ARRB2","RPL35",0.111,0.184,0.148
"ARRB2","ARHGAP17",0.141,0.192,0.121
"ASIP","F11R",0.095,0.075,0.259
"ASL","DDOST",0.119,0.202,0.1
"ASL","GLUD2",0.082,0.507,0.113
"ASL","GNB2",0.102,0.034,0.161
"ASL","PPIB",0.086,0.062,0.116
"ASL","RPL4",0.055,0.269,0.139
"ASL","RPLP2",0.057,0.269,0.179
"ASNA1","CSNK2B",0.073,0.159,0.189
"ASNA1","ECHS1",0.079,0.034,0.127
"ASNA1","EEF1G",0.048,0.06,0.2
"ASNA1","EEF2",0.052,0.142,0.174
"ASNA1","EIF5A",0.047,0.237,0.175
"ASNA1","GNAI2",0.119,0.126,0.178
"ASNA1","GNB1",0.128,0.178,0.178
"ASNA1","GNB2",0.128,0.085,0.152
"ASNA1","GTF2H4",0.133,0.174,0.167
"ASNA1","HINT1",0.107,0.1,0.183
"ASNA1","MARS",0.142,0.151,0.202
"ASNA1","NDUFV1",0.142,0.096,0.13
"ASNA1","NONO",0.043,0.128,0.156
"ASNA1","P2RY11",0,0.161,0.07
"ASNA1","PCBP1",0.047,0.023,0.181
"ASNA1","PFDN1",0.032,NA,NA
"ASNA1","POLR2L",0.095,0.087,0.184
"ASNA1","PPIB",0.071,0.048,0.225
"ASNA1","PSMA4",0.107,0.03,0.177
"ASNA1","PSMA7",0.105,0.03,0.17
"ASNA1","PSMB4",0.107,0.03,0.181
"ASNA1","PSMC4",0.166,0.077,0.142
"ASNA1","RPL4",0.034,0.27,0.209
"ASNA1","RPLP2",0.032,0.27,0.161
"ASNA1","MRPS12",0.034,0.073,0.146
"ASNA1","RPS9",0.031,0.228,0.187
"ASNA1","USP5",0.132,0.049,0.104
"ASNA1","CLPP",0.164,0.028,0.141
"ASNA1","ZBED1",0.062,0.095,0.143
"ASNA1","ATP6V1F",0.288,0.281,0.176
"ASNA1","MPHOSPH6",0.095,0.117,0.185
"ASNA1","NUDC",0.054,0.015,0.133
"ASNA1","RPL35",0.02,0.26,0.177
"ASNA1","GABARAP",0.059,0.264,0.127
"ASNA1","HSPBP1",0.041,0.059,0.097
"ASNA1","GSPT2",0.122,0.094,0.099
"ASNA1","TXN2",0.095,0.034,0.175
"ASNA1","TIMM13",0.154,0.333,0.176
"ASNA1","SEC61A1",0.142,0.52,0.226
"ASNA1","FIS1",0.048,0.239,0.136
"ASNA1","ISYNA1",0.079,0.028,0.078
"ASNA1","PPAN",0.023,0.238,0.13
"ASNA1","EXOSC5",0.107,0.099,0.179
"ASNA1","XAB2",0.095,0.147,0.155
"ASNA1","LSM2",0.047,0.045,0.164
"ASNA1","MUS81",0.136,0.212,0.148
"ASNA1","YIF1B",NA,0.324,0.225
"ASNA1","KLHDC3",0.039,0.353,0.14
"ASNA1","TRAPPC5",0.048,0.297,0.167
"ASNA1","TUBB",0.043,0.161,0.187
"ATP5G1","ATP5G2",NA,NA,NA
"ATP5G1","COX7C",NA,NA,NA
"ATP5G1","TIMM8A",NA,NA,NA
"ATP5G1","ECHS1",NA,NA,NA
"ATP5G1","EIF5A",NA,NA,NA
"ATP5G1","IDH2",NA,NA,NA
"ATP5G1","MDH2",NA,NA,NA
"ATP5G1","NDUFA3",NA,NA,NA
"ATP5G1","NDUFB7",NA,NA,NA
"ATP5G1","NDUFB10",NA,NA,NA
"ATP5G1","NDUFV1",NA,NA,NA
"ATP5G1","MRPS12",NA,NA,NA
"ATP5G1","SDHC",NA,NA,NA
"ATP5G1","UQCRC2",NA,NA,NA
"ATP5G1","COX7A2L",NA,NA,NA
"ATP5G1","COX5A",NA,NA,NA
"ATP5G1","TXN2",NA,NA,NA
"ATP5G1","TIMM13",NA,NA,NA
"ATP5G1","UQCRQ",NA,NA,NA
"ATP5G1","NDUFB11",NA,NA,NA
"ATP5G1","MRPL16",NA,NA,NA
"ATP5G1","MRPL17",NA,NA,NA
"ATP5G1","MRPS24",NA,NA,NA
"ATP5G1","CHCHD4",NA,NA,NA
"ATP5G2","COX7C",NA,NA,NA
"ATP5G2","EIF5A",NA,NA,NA
"ATP5G2","MDH2",NA,NA,NA
"ATP5G2","NDUFB7",NA,NA,NA
"ATP5G2","NDUFB10",NA,NA,NA
"ATP5G2","NDUFV1",NA,NA,NA
"ATP5G2","MRPS12",NA,NA,NA
"ATP5G2","SDHC",NA,NA,NA
"ATP5G2","UQCRC2",NA,NA,NA
"ATP5G2","RBM10",NA,NA,NA
"ATP5G2","COX7A2L",NA,NA,NA
"ATP5G2","COX5A",NA,NA,NA
"ATP5G2","TIMM13",NA,NA,NA
"ATP5G2","UQCRQ",NA,NA,NA
"ATP5G2","NDUFB11",NA,NA,NA
"ATP5G2","MRPL16",NA,NA,NA
"ATP6AP1","IGF2R",0.066,0.22,0.232
"ATP6AP1","LAMP1",0.164,0.31,0.247
"ATP6AP1","ATP6V1F",0.17,0.328,0.371
"ATP6AP1","NDFIP1",0.071,0.345,0.116
"KIF1A","GIT1",0.095,0.027,0.026
"BAD","BID",0.071,0.402,0.31
"BAD","MCL1",0.069,0.34,0.237
"BAD","PPP3CC",0.063,0.16,0.137
"BAD","HRK",0.095,0.316,0.286
"BAD","PIM2",0.059,0.292,0.097
"BAD","BBC3",0.14,0.423,0.217
"BCL3","NFKB2",0.047,0.261,0.255
"BCL3","RELB",0.056,0.279,0.158
"BCL3","STAT3",0.104,0.265,0.17
"BCL3","HDAC3",0.135,0.292,0.166
"BID","CSNK1E",0.055,0.203,0.126
"BID","CSNK2B",0.103,0.22,0.115
