"symbol1","symbol2","MF","BP","CC"
"ARF1","FAU",1,NA,NA
"ARF1","GNB1",0.793,0.273,0.788
"ARF1","GNB2",0.793,0.169,0.862
"ARF1","HLA-DRB1",0.127,0.253,0.727
"ARF1","HRAS",0.857,0.35,0.857
"ARF1","MSN",0.692,0.333,0.758
"ARF1","NPM1",0.634,0.367,0.816
"ARF1","PCBP1",0.765,0.286,0.81
"ARF1","PGK1",0.617,0.286,0.798
"ARF1","PLK1",0.667,0.28,0.622
"ARF1","PPIB",0.642,0.12,0.795
"ARF1","PPP3CC",0.644,0.098,0.737
"ARF1","PSMA4",0.718,0.095,0.77
"ARF1","PSMA7",0.724,0.095,0.76
"ARF1","PSMB4",0.718,0.095,0.77
"ARF1","PSMC4",0.78,0.19,0.72
"ARF1","RAB5B",0.805,0.473,0.8
"ARF1","RAB5C",0.853,0.418,0.691
"ARF1","RPL4",0.755,0.233,0.854
"ARF1","RPL8",0.592,0.234,0.748
"ARF1","RPL11",0.719,0.291,0.823
"ARF1","RPL15",0.741,0.234,0.73
"ARF1","RPL18",0.592,0.234,0.793
"ARF1","RPL30",0.755,0.304,0.811
"ARF1","RPL27A",0.755,0.233,0.752
"ARF1","RPL32",0.592,0.234,0.721
"ARF1","RPL36AL",1,NA,0.774
"ARF1","RPL37",0.592,0.233,0.652
"ARF1","RPLP0",0.722,0.338,0.838
"ARF1","RPLP2",0.679,0.233,0.851
"ARF1","RPN1",0.727,0.226,0.74
"ARF1","RPS2",0.728,0.246,0.848
"ARF1","RPS9",0.705,0.254,0.861
"ARF1","RPS23",0.755,0.234,0.739
"ARF1","SURF4",1,0.384,0.729
"ARF1","UQCRC2",0.682,0.167,0.602
"ARF1","RPL14",0.741,0.253,0.771
"ARF1","RAB11B",0.819,0.462,0.699
"ARF1","ARFRP1",0.824,0.545,0.814
"ARF1","RPL35",0.621,0.221,0.733
"ARF1","EXOSC7",0.734,0.087,0.631
"ARF1","PIP5K1C",0.518,0.503,0.729
"ARF1","RPL13A",0.621,0.302,0.807
"ARF1","GSPT2",0.843,0.121,0.616
"ARF1","PYCR2",0.634,0.101,0.58
"ARF1","SEC61A1",0.595,0.274,0.745
"ARF1","VPS28",0.683,0.314,0.809
"ARF1","BET1L",0.411,0.288,0.785
"ARF1","CAB39",0.616,0.376,0.786
"ARF1","PPAN",0.625,0.274,0.653
"ARF1","SMAP1",NA,0.784,NA
"ARF1","TRAPPC5",0.69,0.305,0.564
"ARF1","TUBB",0.694,0.431,0.722
"RHOG","CSK",0.674,0.412,0.862
"RHOG","CYBA",0.593,0.383,0.793
"RHOG","GNAI2",0.844,0.599,0.809
"RHOG","HCK",0.625,0.569,0.767
"RHOG","SOS1",0.669,0.656,0.813
"RHOG","SPI1",0.588,0.507,0.654
"RHOG","STAT3",0.662,0.476,0.781
"RHOG","VAV1",0.631,0.625,0.751
"RHOG","STK24",0.675,0.579,0.807
"RHOG","RHOBTB1",0.954,0.72,0.806
"RHOG","ARHGEF16",0.685,0.738,1
"RHOG","ARHGAP17",0.659,0.635,0.808
"RHOG","ARHGAP9",0.64,0.56,0.815
"RHOG","FGD3",0.533,0.752,0.768
"RHOG","RHOT2",0.954,0.54,0.767
"ARR3","ARRB2",1,NA,0.791
"ARR3","FSHR",1,NA,0.58
"ARR3","CXCR4",1,NA,0.664
"ARRB2","CSK",0.66,0.426,0.919
"ARRB2","DYNC1H1",0.598,0.287,0.748
"ARRB2","EEF2",0.689,0.365,0.851
"ARRB2","HCK",0.702,0.525,0.771
"ARRB2","MYL6",0.611,0.154,0.781
"ARRB2","NONO",0.652,0.403,0.776
"ARRB2","RAB5C",0.65,0.336,0.796
"ARRB2","RANGAP1",0.672,0.047,0.791
"ARRB2","RPL4",0.723,0.325,0.833
"ARRB2","RPL7",0.71,0.343,0.831
