"cluster"	"node"
72	"CHCHD4,COX5A,COX7C,JOSD1,LSM2,MARS,MDH2,MRPL17,NDUFB10,NDUFB7,NDUFV1,NPM1,NUDC,PSMA4,RAB5B,RPL14,RPL35,RPL36AL,RPL37,RPS23,SDHC,SET,SURF4,TIMM13,TIMM8A,UQCRC2,UQCRQ"
73	"ADCY1,ADM2,FSHR,HTR3A,HTR4,SCTR"
74	"BCL3,CSF3R,CSK,CTF1,DAXX,DDOST,DIRAS3,EEF2,EGR1,GATA2,GEMIN4,GNB2,HCK,HSPB1,IL6R,IRF3,KPNA6,MTA1,PCBP1,PIAS3,PPIB,RHOG,RPL11,RPL35,RPL4,RPS9,SEC61A1,SOS1,SP1,SPI1,STAT3,STAT4,STAT5A,THPO,TUBB,USP22,ZNF148"
75	"ARR3,ARRB2,CXCR4,FSHR,IRF3,SELL,SOCS1,STAT3,STAT5A,VAV1"
76	"ARF1,ASNA1,ATP6V1F,CSNK2B,DDOST,EEF2,EIF5A,EXOSC5,GNB1,GNB2,GSPT2,GTF2H4,LSM2,MRPS12,MUS81,NONO,PCBP1,PDCL3,POLR2L,PPAN,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RAB5B,RAB5C,RPL18,RPL35,RPL36AL,RPL4,RPLP0,RPLP2,RPN1,RPS23,RPS9,SEC61A1,TIMM13,TRAPPC5,TUBB,XAB2"
77	"ACTA1,ACTA2,ARF1,ARPC1B,CTNNBL1,DDOST,DYNC1H1,EEF2,EIF4A2,EIF5A,GNB2,GSPT2,HARS2,HIST1H2AA,KIFC1,PDCL3,PFDN2,PGK1,PYCR2,RANGAP1,RPL14,RPL27A,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS23,RPS9,TBCA,TUBB,TUBB2B,TUBGCP2"
78	"NUDC,PHF1,SALL2,SIN3B,TFAP4,TFCP2"
79	"ANAPC2,ARHGAP17,CDC25A,DYNC1H1,FRG1,GNB1,GSPT2,GTF2H4,HDAC3,HSPB1,MARS,MTA1,MUS81,NONO,NUDC,PCBP1,PLK1,POLR2L,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PSME4,RBM10,RPL4,SEC61A1,SIN3B,TIMM13,TRAPPC5,USP22,ZNF598"
80	"FADS2,FADS3,LSS,PLA2G2F"
81	"ATP6AP1,CD63,CLCN7,DDOST,ECE1,GABARAP,IGF2R,LAMP1,MSN,PLAUR,PPIB,PTTG1IP,RAB5B,RAB5C,RPL14,RPL8,RPN1,SEC61A1,SLC1A5,SLC3A2,STAT3,TGOLN2,VAMP8,VPS37C"
82	"ACHE,AKT1,CAMK2A,HAND1,MEF2D,SRF"
83	"CKS1B,LIMD1,PCGF6,PSMA4,USP2,ZNF35,ZNF598"
84	"AKT1,CDC25A,CKS1B,FANCG,FOXM1,FTSJ3,KIFC1,PLK1,RBM4B,RRM2,RTN2,SP1,STAT3,TACC3,ZBED1"
85	"AP2A1,ARF1,ARHGAP17,BAD,BIN2,CSNK2B,GNB1,GSPT2,MEF2D,NFATC4,PDCL3,PPAN,PPP1R1B,PPP3CC,RPLP2,SH3GL1"
86	"ACTA1,ACTN4,ADAM15,CSF3R,CSK,CSNK2B,DNM2,DYNC1H1,FAU,HCK,IL6R,PLAUR,PSTPIP1,RHOG,SH3BP1,SPI1,STK24,TNK2,TUBB,VAV1"
87	"ARPC5,ASNA1,ATP6V1F,COX5A,DYNC1H1,EEF2,EIF5A,FAU,FIS1,GABARAP,GNB2,IDH2,IFI30,MYL6,NUDC,PPIB,PSMA4,PSMA7,PSMC4,RPL14,RPL15,RPL18,RPL32,RPL35,RPL37A,RPL8,RPLP0,RPLP2,RPS2,RPS23,SEC61A1,SH3GL1,TBC1D2B,TFCP2,TPST2,TUBB,VAMP8,VPS28"
88	"LPXN,MYBBP1A,P2RY11,POM121,PPAN,RBM10,TUBB"
89	"ANAPC2,ARPC1B,ASNA1,CKS1B,CPSF1,CSNK2B,DDOST,EEF2,EIF4A2,EIF5A,EXOSC5,EXOSC7,FRG1,FTSJ3,GNB2,GSPT2,GTF2H4,HARS2,LSM2,MUS81,MYBBP1A,NONO,NPM1,PAF1,PCBP1,PCBP2,PDCL3,PLK1,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RBM10,RPL11,RPL30,RPL35,RPL4,RPL7,RPLP0,RPLP2,RPN1,RPS2,RPS9,SET,SH3GL1,TRAPPC5,TUBB,VPS28,XAB2,ZBED1"
90	"ALOX5AP,BET1L,CD53,CYBA,GGT1,HLA-DRB1,PLP2,SPN,TBXAS1,VAMP8"
91	"ANP32E,CHCHD4,CKS1B,CTNNBL1,DNAJC9,HSPB1,MRPL16,RPLP0,RPS2,SHKBP1,TUBB,UNG"
92	"ASL,DDOST,GNB2,IL32,PPIB,PQBP1,RPL4,RPLP2,SF3A2"
