"entrez1","entrez2"
"1460","6171"
"1460","6175"
"1460","6181"
"1460","6184"
"1460","6187"
"1460","6203"
"1460","6228"
"1460","6418"
"1460","6455"
"1460","6776"
"1460","6836"
"1460","7385"
"1460","8841"
"1460","9045"
"1460","9112"
"1460","9189"
"1460","9230"
"1460","9296"
"1460","9377"
"1460","9583"
"1460","10419"
"1460","10467"
"1460","10726"
"1460","11224"
"1460","23234"
"1460","23521"
"1460","26517"
"1460","29882"
"1460","29894"
"1460","29920"
"1460","51160"
"1460","54623"
"1460","54948"
"1460","55114"
"1460","56342"
"1460","57187"
"1460","57819"
"1460","79031"
"1460","80198"
"1460","84108"
"1460","90850"
"1460","116138"
"1460","117246"
"1460","126003"
"1460","203068"
"1460","283989"
"1489","3570"
"1489","6654"
"1489","6774"
"1514","2782"
"1514","3123"
"1514","5971"
"1514","10437"
"1535","3123"
"1535","4478"
"1535","5355"
"1535","8673"
"1535","10095"
"1579","6604"
"1579","64600"
"1616","3315"
"1616","4869"
"1616","5971"
"1616","6693"
"1616","6774"
"1616","7161"
"1616","8841"
"1616","51010"
"1621","5409"
"1621","7054"
"1628","10538"
"1650","1778"
"1650","1938"
"1650","1974"
"1650","1984"
"1650","2010"
"1650","2747"
"1650","2771"
"1650","2782"
"1650","2783"
"1650","2968"
"1650","3123"
"1650","3833"
"1650","4141"
"1650","4191"
"1650","4637"
"1650","4841"
"1650","5032"
"1650","5093"
"1650","5094"
"1650","5230"
"1650","5355"
"1650","5441"
"1650","5447"
"1650","5479"
"1650","5525"
"1650","5685"
"1650","5688"
"1650","5692"
"1650","5704"
"1650","5878"
"1650","5905"
"1650","6124"
"1650","6129"
"1650","6132"
"1650","6134"
"1650","6135"
"1650","6138"
"1650","6141"
"1650","6156"
"1650","6157"
"1650","6161"
"1650","6167"
"1650","6168"
"1650","6171"
"1650","6175"
"1650","6181"
"1650","6184"
"1650","6187"
"1650","6203"
"1650","6228"
"1650","6455"
"1650","6510"
"1650","6520"
"1650","6604"
"1650","6774"
"1650","6836"
"1650","6902"
"1650","7385"
"1650","7922"
"1650","8192"
"1650","8241"
"1650","8625"
"1650","9045"
"1650","9189"
"1650","9219"
"1650","9296"
"1650","10092"
"1650","10095"
"1650","10419"
"1650","10844"
"1650","10956"
"1650","11180"
"1650","11224"
"1650","23225"
"1650","23521"
"1650","23633"
"1650","23640"
"1650","23708"
"1650","25979"
"1650","26517"
"1650","29894"
"1650","29927"
"1650","50628"
"1650","56342"
"1650","56949"
