"204102_s_at"	"207585_s_at"	"201122_x_at"	"208620_at"	"217266_at"	"200074_s_at"	"221798_x_at"	"212044_s_at"	"200926_at"	"201033_x_at"	"200717_x_at"	"214317_x_at"	"200019_s_at"	"201429_s_at"	"221475_s_at"	"213588_x_at"	"208856_x_at"	"212042_x_at"	"213459_at"	"221476_s_at"	"219138_at"	"217747_s_at"	"211720_x_at"	"214041_x_at"	"200010_at"	"200834_s_at"	"211972_x_at"	"200094_s_at"	"214097_at"	"200002_at"	"200936_at"	"200022_at"	"200674_s_at"	"200092_s_at"	"214335_at"	"222297_x_at"	"201492_s_at"	"200908_s_at"	"217670_at"	"201123_s_at"	"213753_x_at"	"201011_at"	"204330_s_at"	"204331_s_at"	"222216_s_at"	"210008_s_at"	"217980_s_at"	"213840_s_at"	"200967_at"	"200968_s_at"	"204031_s_at"	"205541_s_at"	"209252_at"	"213264_at"	"213517_at"	"218103_at"	"200063_s_at"	"201114_x_at"	"221691_x_at"	"216088_s_at"	"203396_at"	"201252_at"	"218110_at"	"201897_s_at"	"202243_s_at"	"221923_s_at"	"201638_s_at"	"202244_at"	"200057_s_at"	"210470_x_at"	"208698_s_at"	"209449_at"	"201390_s_at"	"208674_x_at"	"208675_s_at"	"205527_s_at"	"217099_s_at"	"219098_at"	"209026_x_at"	"211714_x_at"	"212320_at"	"217716_s_at"	"213648_at"	"212627_s_at"	"217786_at"	"212994_at"	"222122_s_at"	"210574_s_at"	"213048_s_at"	"218555_at"	"201173_x_at"	"210575_at"	"202586_at"
"216326_s_at"	"218338_at"	"202247_s_at"	"211783_s_at"	"203444_s_at"	"204898_at"	"209352_s_at"	"39705_at"	"204899_s_at"	"204900_x_at"	"213963_s_at"	"202473_x_at"	"202474_s_at"
"207163_s_at"	"218223_s_at"
"218030_at"	"213108_at"	"212518_at"	"215280_s_at"
"218260_at"	"200737_at"	"212059_s_at"	"40829_at"
"203577_at"	"210206_s_at"
"210333_at"	"209587_at"	"35846_at"
"204039_at"	"205965_at"	"209782_s_at"	"209783_at"
"205205_at"	"211524_at"	"209636_at"
"205177_at"	"206393_at"	"205693_at"	"209742_s_at"	"205766_at"	"204083_s_at"	"205589_at"	"212654_at"	"215389_s_at"
"37462_i_at"	"202354_s_at"
"218481_at"	"203740_at"	"202253_s_at"	"213187_x_at"
"204099_at"	"214383_x_at"
"206219_s_at"	"209881_s_at"
"217028_at"	"207136_at"	"211201_at"	"211919_s_at"
"209201_x_at"	"206001_at"	"204280_at"
"207282_s_at"	"209479_at"	"214062_x_at"	"214448_x_at"
"218906_x_at"	"215624_at"
"209381_x_at"	"202355_s_at"
"208826_x_at"	"206492_at"
"216981_x_at"	"203416_at"	"204174_at"
"222015_at"	"203660_s_at"	"202476_s_at"	"213563_s_at"	"202477_s_at"
"201276_at"	"34478_at"	"217793_at"
"216980_s_at"	"201763_s_at"
"206057_x_at"	"216038_x_at"
"215735_s_at"	"216267_s_at"
"205312_at"	"207954_at"	"210358_x_at"	"206283_s_at"	"209710_at"	"216925_s_at"
"213112_s_at"	"207613_s_at"
"203315_at"	"204927_at"	"40359_at"
"205480_s_at"	"201673_s_at"
"217873_at"	"204292_x_at"
"217478_s_at"	"208894_at"	"210982_s_at"	"206200_s_at"
"206834_at"	"205919_at"	"220807_at"	"217683_at"	"206647_at"
"205932_s_at"	"206140_at"	"211219_s_at"	"206634_at"
"201471_s_at"	"216439_at"
"220804_s_at"	"217864_s_at"
"206056_x_at"	"220674_at"
"207535_s_at"	"208763_s_at"
"201136_at"	"210845_s_at"
"217356_s_at"	"210447_at"
"201568_at"	"201134_x_at"
"210382_at"	"207577_at"
"204696_s_at"	"212222_at"
"220690_s_at"	"216591_s_at"
"203564_at"	"204217_s_at"	"34408_at"
"202388_at"	"221345_at"
"219191_s_at"	"207000_s_at"
"207772_s_at"	"222360_at"	"219590_x_at"
"207627_s_at"	"205688_at"
"206793_at"	"216204_at"
"213384_x_at"	"209830_s_at"
"204695_at"	"212220_at"
"200738_s_at"	"215794_x_at"
"218034_at"	"65770_at"
"212667_at"	"203683_s_at"	"206390_x_at"
"202356_s_at"	"202093_s_at"
"214370_at"	"205863_at"
"211630_s_at"	"215333_x_at"
"206813_at"	"205723_at"
"217734_s_at"	"217270_s_at"
"217752_s_at"	"202108_at"
"208330_at"	"211886_s_at"	"207155_at"
"207694_at"	"210475_at"	"208345_s_at"
"210890_x_at"	"211530_x_at"
"214498_at"	"222354_at"	"221664_s_at"
"209462_at"	"201116_s_at"
